MGRS: 
NLCD: 41

Randomly drop one datapoint during the year
            method     rmse      mae      mbe        m        b       r2        n
     interp_clim_a   0.1176   0.0903   0.0203   0.6994   0.1868   0.7270    12017
     interp_clim_b   0.1198   0.0917   0.0220   0.6957   0.1905   0.7172    12017
     interp_clim_c   0.1176   0.0892   0.0181   0.7051   0.1814   0.7242    12017
       whit_a_0p50   0.1442   0.1096   0.0245   0.7139   0.1829   0.6061    12017
       whit_a_0p20   0.1433   0.1085   0.0151   0.7363   0.1612   0.6106    12017
       whit_a_0p10   0.1443   0.1090   0.0112   0.7476   0.1510   0.6084    12017
       whit_a_0p05   0.1459   0.1100   0.0088   0.7550   0.1445   0.6042    12017
       whit_a_0p01   0.1485   0.1119   0.0066   0.7626   0.1381   0.5962    12017

Randomly drop one datapoint during the winter
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1440   0.1086   0.0349   0.6528   0.2052   0.5593     9515
        climo_mean   0.1250   0.0945   0.0025   0.6388   0.1796   0.6350     9515
      climo_median   0.1289   0.0901  -0.0036   0.6521   0.1671   0.6139     9515
             conor   0.1211   0.0918   0.0015   0.7316   0.1332   0.6642     9515
     interp_clim_a   0.1216   0.0922   0.0187   0.6458   0.1924   0.6631     9515
     interp_clim_b   0.1253   0.0945   0.0211   0.6398   0.1978   0.6435     9515
     interp_clim_c   0.1221   0.0908   0.0156   0.6525   0.1861   0.6569     9515
       whit_a_0p50   0.1425   0.1071   0.0096   0.6695   0.1718   0.5521     9515
       whit_a_0p20   0.1439   0.1072   0.0013   0.6877   0.1545   0.5502     9515
       whit_a_0p10   0.1459   0.1083  -0.0014   0.6973   0.1471   0.5450     9515
       whit_a_0p05   0.1480   0.1098  -0.0024   0.7039   0.1428   0.5387     9515
       whit_a_0p01   0.1513   0.1123  -0.0029   0.7107   0.1391   0.5281     9515

Randomly drop a two month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1516   0.1161   0.0084   0.6745   0.2425   0.6948    12080
        climo_mean   0.1057   0.0799  -0.0001   0.8483   0.1090   0.8508    12080
      climo_median   0.1088   0.0772  -0.0004   0.8631   0.0980   0.8425    12080
             conor   0.1002   0.0758  -0.0007   0.8759   0.0886   0.8662    12080
     interp_clim_a   0.1118   0.0860   0.0041   0.7614   0.1758   0.8409    12080
     interp_clim_b   0.1140   0.0872   0.0055   0.7558   0.1811   0.8341    12080
     interp_clim_c   0.1118   0.0851   0.0040   0.7688   0.1703   0.8394    12080
       whit_a_0p50   0.1458   0.1108   0.0068   0.7547   0.1832   0.7186    12080
       whit_a_0p20   0.1452   0.1098   0.0055   0.7904   0.1562   0.7249    12080
       whit_a_0p10   0.1466   0.1106   0.0048   0.8064   0.1441   0.7230    12080
       whit_a_0p05   0.1485   0.1118   0.0043   0.8160   0.1367   0.7188    12080
       whit_a_0p01   0.1518   0.1141   0.0037   0.8249   0.1296   0.7110    12080

Randomly drop a two month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1320   0.1027  -0.0418   0.7400   0.1804   0.7232    12080
        climo_mean   0.0936   0.0711   0.0023   0.8416   0.1377   0.8452    12080
      climo_median   0.0964   0.0692   0.0052   0.8505   0.1330   0.8366    12080
             conor   0.0863   0.0658   0.0015   0.8790   0.1049   0.8685    12080
     interp_clim_a   0.0973   0.0756  -0.0197   0.7908   0.1590   0.8429    12080
     interp_clim_b   0.0977   0.0758  -0.0198   0.7899   0.1598   0.8416    12080
     interp_clim_c   0.0975   0.0751  -0.0183   0.7952   0.1567   0.8403    12080
       whit_a_0p50   0.1280   0.0983  -0.0206   0.7841   0.1639   0.7233    12080
       whit_a_0p20   0.1265   0.0970  -0.0145   0.8134   0.1450   0.7304    12080
       whit_a_0p10   0.1272   0.0975  -0.0120   0.8269   0.1359   0.7295    12080
       whit_a_0p05   0.1286   0.0984  -0.0106   0.8352   0.1303   0.7263    12080
       whit_a_0p01   0.1310   0.1004  -0.0092   0.8430   0.1250   0.7195    12080

Randomly drop a two month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1771   0.1367   0.0790   0.6371   0.2784   0.5165    12017
        climo_mean   0.1217   0.0925   0.0004   0.6973   0.1668   0.6984    12017
      climo_median   0.1257   0.0889  -0.0039   0.7099   0.1555   0.6801    12017
             conor   0.1174   0.0887  -0.0000   0.7432   0.1412   0.7199    12017
     interp_clim_a   0.1309   0.1013   0.0397   0.6672   0.2226   0.6838    12017
     interp_clim_b   0.1350   0.1040   0.0429   0.6599   0.2299   0.6665    12017
     interp_clim_c   0.1310   0.1002   0.0375   0.6735   0.2170   0.6793    12017
       whit_a_0p50   0.1685   0.1293   0.0476   0.6761   0.2256   0.5171    12017
       whit_a_0p20   0.1680   0.1282   0.0362   0.7043   0.1988   0.5186    12017
       whit_a_0p10   0.1698   0.1293   0.0313   0.7183   0.1861   0.5140    12017
       whit_a_0p05   0.1721   0.1309   0.0283   0.7272   0.1783   0.5078    12017
       whit_a_0p01   0.1759   0.1336   0.0254   0.7360   0.1706   0.4975    12017

Randomly drop a three month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1778   0.1370   0.0127   0.5893   0.3064   0.5791    12080
        climo_mean   0.1066   0.0806   0.0003   0.8497   0.1078   0.8477    12080
      climo_median   0.1097   0.0779  -0.0001   0.8644   0.0969   0.8397    12080
             conor   0.1023   0.0771  -0.0001   0.8711   0.0921   0.8601    12080
     interp_clim_a   0.1222   0.0942   0.0065   0.7195   0.2071   0.8107    12080
     interp_clim_b   0.1253   0.0959   0.0082   0.7119   0.2143   0.8007    12080
     interp_clim_c   0.1221   0.0933   0.0063   0.7269   0.2017   0.8092    12080
       whit_a_0p50   0.1687   0.1273   0.0119   0.7010   0.2257   0.6290    12080
       whit_a_0p20   0.1681   0.1264   0.0105   0.7424   0.1947   0.6396    12080
       whit_a_0p10   0.1699   0.1278   0.0099   0.7610   0.1808   0.6383    12080
       whit_a_0p05   0.1722   0.1296   0.0094   0.7718   0.1726   0.6342    12080
       whit_a_0p01   0.1758   0.1328   0.0090   0.7818   0.1650   0.6260    12080

Randomly drop a three month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1642   0.1277  -0.0576   0.6545   0.2320   0.6154    12080
        climo_mean   0.0949   0.0725   0.0013   0.8546   0.1232   0.8525    12080
      climo_median   0.0972   0.0703   0.0037   0.8660   0.1160   0.8459    12080
             conor   0.0898   0.0686   0.0007   0.8795   0.1017   0.8681    12080
     interp_clim_a   0.1101   0.0864  -0.0282   0.7546   0.1776   0.8197    12080
     interp_clim_b   0.1109   0.0868  -0.0281   0.7522   0.1796   0.8166    12080
     interp_clim_c   0.1098   0.0856  -0.0270   0.7602   0.1740   0.8187    12080
       whit_a_0p50   0.1565   0.1188  -0.0264   0.7259   0.2034   0.6264    12080
       whit_a_0p20   0.1549   0.1174  -0.0197   0.7619   0.1799   0.6379    12080
       whit_a_0p10   0.1559   0.1181  -0.0172   0.7788   0.1682   0.6381    12080
       whit_a_0p05   0.1577   0.1195  -0.0160   0.7891   0.1608   0.6349    12080
       whit_a_0p01   0.1608   0.1220  -0.0149   0.7989   0.1537   0.6274    12080

Randomly drop a three month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1942   0.1513   0.0931   0.6046   0.3207   0.4844    12017
        climo_mean   0.1190   0.0902  -0.0010   0.7329   0.1527   0.7342    12017
      climo_median   0.1229   0.0869  -0.0049   0.7454   0.1417   0.7182    12017
             conor   0.1158   0.0876  -0.0014   0.7611   0.1361   0.7488    12017
     interp_clim_a   0.1363   0.1059   0.0460   0.6688   0.2367   0.6917    12017
     interp_clim_b   0.1413   0.1092   0.0499   0.6581   0.2467   0.6723    12017
     interp_clim_c   0.1363   0.1049   0.0441   0.6750   0.2312   0.6881    12017
       whit_a_0p50   0.1830   0.1410   0.0569   0.6675   0.2483   0.4933    12017
       whit_a_0p20   0.1839   0.1410   0.0456   0.6949   0.2212   0.4900    12017
       whit_a_0p10   0.1868   0.1432   0.0408   0.7081   0.2089   0.4820    12017
       whit_a_0p05   0.1901   0.1457   0.0379   0.7159   0.2014   0.4733    12017
       whit_a_0p01   0.1949   0.1494   0.0350   0.7231   0.1944   0.4602    12017

Randomly drop a four month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2015   0.1587   0.0088   0.5108   0.3601   0.4624    12080
        climo_mean   0.1062   0.0801  -0.0006   0.8469   0.1093   0.8490    12080
      climo_median   0.1092   0.0775  -0.0012   0.8612   0.0984   0.8408    12080
             conor   0.1026   0.0774  -0.0012   0.8611   0.0986   0.8589    12080
     interp_clim_a   0.1319   0.1034   0.0041   0.6788   0.2347   0.7804    12080
     interp_clim_b   0.1355   0.1055   0.0061   0.6696   0.2433   0.7669    12080
     interp_clim_c   0.1316   0.1026   0.0038   0.6860   0.2293   0.7796    12080
       whit_a_0p50   0.1895   0.1451   0.0092   0.6418   0.2664   0.5394    12080
       whit_a_0p20   0.1892   0.1441   0.0080   0.6844   0.2346   0.5527    12080
       whit_a_0p10   0.1915   0.1456   0.0072   0.7031   0.2204   0.5512    12080
       whit_a_0p05   0.1944   0.1477   0.0066   0.7141   0.2119   0.5461    12080
       whit_a_0p01   0.1990   0.1514   0.0059   0.7241   0.2040   0.5361    12080

Randomly drop a four month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1984   0.1567  -0.0657   0.5493   0.3019   0.4888    12080
        climo_mean   0.0962   0.0733   0.0016   0.8613   0.1147   0.8631    12080
      climo_median   0.0988   0.0708   0.0034   0.8744   0.1059   0.8562    12080
             conor   0.0919   0.0702   0.0007   0.8777   0.1005   0.8750    12080
     interp_clim_a   0.1247   0.0989  -0.0320   0.7053   0.2083   0.7953    12080
     interp_clim_b   0.1266   0.0998  -0.0315   0.6996   0.2135   0.7872    12080
     interp_clim_c   0.1241   0.0980  -0.0311   0.7118   0.2039   0.7953    12080
       whit_a_0p50   0.1866   0.1422  -0.0298   0.6520   0.2540   0.5272    12080
       whit_a_0p20   0.1847   0.1397  -0.0219   0.6917   0.2295   0.5431    12080
       whit_a_0p10   0.1862   0.1408  -0.0192   0.7100   0.2173   0.5435    12080
       whit_a_0p05   0.1886   0.1427  -0.0179   0.7210   0.2096   0.5393    12080
       whit_a_0p01   0.1929   0.1462  -0.0173   0.7310   0.2021   0.5301    12080

Randomly drop a four month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2056   0.1612   0.0937   0.5591   0.3619   0.4682    12017
        climo_mean   0.1188   0.0897  -0.0010   0.7644   0.1422   0.7686    12017
      climo_median   0.1223   0.0861  -0.0041   0.7780   0.1309   0.7556    12017
             conor   0.1150   0.0867  -0.0013   0.7855   0.1291   0.7829    12017
     interp_clim_a   0.1410   0.1096   0.0464   0.6618   0.2520   0.7125    12017
     interp_clim_b   0.1461   0.1130   0.0504   0.6503   0.2630   0.6944    12017
     interp_clim_c   0.1409   0.1086   0.0448   0.6685   0.2464   0.7098    12017
       whit_a_0p50   0.1913   0.1474   0.0571   0.6514   0.2690   0.4993    12017
       whit_a_0p20   0.1920   0.1473   0.0454   0.6828   0.2383   0.4978    12017
       whit_a_0p10   0.1951   0.1495   0.0405   0.6977   0.2243   0.4902    12017
       whit_a_0p05   0.1987   0.1521   0.0376   0.7071   0.2158   0.4815    12017
       whit_a_0p01   0.2041   0.1562   0.0351   0.7162   0.2076   0.4683    12017

Randomly drop a six month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2503   0.1971   0.0070   0.3843   0.4483   0.2455    12080
        climo_mean   0.1063   0.0807   0.0008   0.8458   0.1113   0.8496    12080
      climo_median   0.1090   0.0779   0.0002   0.8606   0.1001   0.8424    12080
             conor   0.1042   0.0790   0.0004   0.8556   0.1039   0.8557    12080
     interp_clim_a   0.1520   0.1200   0.0039   0.6150   0.2798   0.7041    12080
     interp_clim_b   0.1563   0.1228   0.0066   0.6032   0.2910   0.6856    12080
     interp_clim_c   0.1513   0.1189   0.0036   0.6224   0.2742   0.7057    12080
       whit_a_0p50   0.2441   0.1849   0.0053   0.5189   0.3500   0.3243    12080
       whit_a_0p20   0.2428   0.1830   0.0047   0.5699   0.3129   0.3517    12080
       whit_a_0p10   0.2448   0.1847   0.0040   0.5929   0.2958   0.3577    12080
       whit_a_0p05   0.2477   0.1872   0.0034   0.6065   0.2853   0.3575    12080
       whit_a_0p01   0.2526   0.1913   0.0024   0.6189   0.2755   0.3526    12080

Randomly drop a six month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2563   0.2036  -0.0598   0.3840   0.4086   0.2435    12080
        climo_mean   0.1008   0.0770   0.0005   0.8620   0.1054   0.8629    12080
      climo_median   0.1033   0.0743   0.0007   0.8772   0.0941   0.8566    12080
             conor   0.0986   0.0753   0.0004   0.8724   0.0974   0.8689    12080
     interp_clim_a   0.1515   0.1209  -0.0297   0.6230   0.2570   0.7137    12080
     interp_clim_b   0.1545   0.1229  -0.0281   0.6137   0.2656   0.6991    12080
     interp_clim_c   0.1507   0.1199  -0.0296   0.6306   0.2513   0.7157    12080
       whit_a_0p50   0.2591   0.1966  -0.0470   0.5025   0.3314   0.2867    12080
       whit_a_0p20   0.2588   0.1948  -0.0404   0.5493   0.3023   0.3080    12080
       whit_a_0p10   0.2612   0.1963  -0.0373   0.5702   0.2896   0.3120    12080
       whit_a_0p05   0.2641   0.1986  -0.0354   0.5821   0.2824   0.3115    12080
       whit_a_0p01   0.2688   0.2024  -0.0337   0.5925   0.2762   0.3068    12080

Randomly drop a six month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2387   0.1893   0.0670   0.4384   0.4473   0.3043    12017
        climo_mean   0.1105   0.0834  -0.0016   0.8255   0.1166   0.8244    12017
      climo_median   0.1138   0.0805  -0.0028   0.8390   0.1062   0.8146    12017
             conor   0.1079   0.0812  -0.0017   0.8372   0.1085   0.8327    12017
     interp_clim_a   0.1493   0.1175   0.0327   0.6319   0.2820   0.7016    12017
     interp_clim_b   0.1541   0.1209   0.0361   0.6195   0.2938   0.6829    12017
     interp_clim_c   0.1489   0.1167   0.0321   0.6387   0.2768   0.7013    12017
       whit_a_0p50   0.2222   0.1728   0.0508   0.5816   0.3342   0.4045    12017
       whit_a_0p20   0.2214   0.1713   0.0424   0.6271   0.2949   0.4213    12017
       whit_a_0p10   0.2242   0.1733   0.0377   0.6467   0.2770   0.4199    12017
       whit_a_0p05   0.2278   0.1759   0.0344   0.6578   0.2661   0.4141    12017
       whit_a_0p01   0.2336   0.1803   0.0306   0.6677   0.2556   0.4028    12017

