MGRS: 
NLCD: 90

Randomly drop one datapoint during the year
            method     rmse      mae      mbe        m        b       r2        n
     interp_clim_c   0.1309   0.0954   0.0117   0.7174   0.1694   0.7191    10639
       whit_a_0p50   0.1509   0.1106   0.0104   0.7291   0.1616   0.6383    10639
       whit_a_0p20   0.1516   0.1106   0.0048   0.7360   0.1522   0.6362    10639
       whit_a_0p10   0.1531   0.1117   0.0030   0.7404   0.1479   0.6313    10639
       whit_a_0p05   0.1549   0.1131   0.0022   0.7436   0.1453   0.6255    10639
       whit_a_0p01   0.1579   0.1154   0.0018   0.7473   0.1428   0.6160    10639

Randomly drop a two month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1365   0.1033   0.0042   0.8009   0.1501   0.7985    12608
        climo_mean   0.1128   0.0844  -0.0007   0.8592   0.1024   0.8623    12608
      climo_median   0.1159   0.0813  -0.0031   0.8741   0.0891   0.8553    12608
             conor   0.1004   0.0753  -0.0011   0.8945   0.0761   0.8909    12608
     interp_clim_a   0.1092   0.0830   0.0017   0.8300   0.1262   0.8732    12608
     interp_clim_b   0.1107   0.0837   0.0025   0.8281   0.1284   0.8696    12608
     interp_clim_c   0.1096   0.0821   0.0006   0.8375   0.1196   0.8714    12608
       whit_a_0p50   0.1356   0.1019   0.0031   0.8388   0.1212   0.8029    12608
       whit_a_0p20   0.1359   0.1018   0.0026   0.8576   0.1069   0.8039    12608
       whit_a_0p10   0.1374   0.1027   0.0023   0.8663   0.1003   0.8011    12608
       whit_a_0p05   0.1392   0.1041   0.0021   0.8717   0.0961   0.7973    12608
       whit_a_0p01   0.1422   0.1064   0.0019   0.8769   0.0920   0.7906    12608

Randomly drop a two month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1149   0.0885  -0.0296   0.8599   0.0863   0.8680    12608
        climo_mean   0.0989   0.0734   0.0018   0.8963   0.0876   0.8951    12608
      climo_median   0.1019   0.0712   0.0017   0.9123   0.0742   0.8893    12608
             conor   0.0832   0.0632   0.0014   0.9299   0.0594   0.9258    12608
     interp_clim_a   0.0917   0.0704  -0.0139   0.8781   0.0870   0.9132    12608
     interp_clim_b   0.0919   0.0706  -0.0139   0.8779   0.0871   0.9128    12608
     interp_clim_c   0.0922   0.0696  -0.0139   0.8861   0.0803   0.9117    12608
       whit_a_0p50   0.1140   0.0872  -0.0150   0.8905   0.0756   0.8638    12608
       whit_a_0p20   0.1134   0.0866  -0.0106   0.9069   0.0664   0.8653    12608
       whit_a_0p10   0.1145   0.0874  -0.0088   0.9146   0.0619   0.8634    12608
       whit_a_0p05   0.1160   0.0885  -0.0076   0.9194   0.0590   0.8605    12608
       whit_a_0p01   0.1185   0.0904  -0.0066   0.9240   0.0563   0.8554    12608

Randomly drop a two month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1617   0.1235   0.0477   0.7642   0.1934   0.6597    12551
        climo_mean   0.1262   0.0965  -0.0009   0.7549   0.1507   0.7621    12551
      climo_median   0.1299   0.0930  -0.0056   0.7695   0.1369   0.7486    12551
             conor   0.1183   0.0900  -0.0018   0.7990   0.1225   0.7909    12551
     interp_clim_a   0.1278   0.0981   0.0234   0.7595   0.1720   0.7641    12551
     interp_clim_b   0.1312   0.1001   0.0254   0.7560   0.1762   0.7523    12551
     interp_clim_c   0.1282   0.0973   0.0211   0.7669   0.1652   0.7609    12551
       whit_a_0p50   0.1594   0.1213   0.0272   0.7684   0.1704   0.6520    12551
       whit_a_0p20   0.1607   0.1219   0.0198   0.7785   0.1568   0.6466    12551
       whit_a_0p10   0.1631   0.1235   0.0165   0.7842   0.1499   0.6393    12551
       whit_a_0p05   0.1657   0.1253   0.0144   0.7883   0.1453   0.6314    12551
       whit_a_0p01   0.1697   0.1284   0.0123   0.7924   0.1406   0.6198    12551

Randomly drop a three month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1587   0.1212   0.0046   0.7490   0.1881   0.7268    12608
        climo_mean   0.1138   0.0847  -0.0005   0.8576   0.1036   0.8592    12608
      climo_median   0.1177   0.0821  -0.0028   0.8723   0.0906   0.8499    12608
             conor   0.1051   0.0785  -0.0014   0.8804   0.0860   0.8799    12608
     interp_clim_a   0.1186   0.0902   0.0021   0.8033   0.1459   0.8496    12608
     interp_clim_b   0.1208   0.0913   0.0032   0.8002   0.1492   0.8437    12608
     interp_clim_c   0.1191   0.0896   0.0009   0.8106   0.1393   0.8473    12608
       whit_a_0p50   0.1558   0.1176   0.0038   0.8048   0.1465   0.7416    12608
       whit_a_0p20   0.1573   0.1182   0.0030   0.8245   0.1313   0.7404    12608
       whit_a_0p10   0.1599   0.1199   0.0025   0.8332   0.1244   0.7352    12608
       whit_a_0p05   0.1625   0.1219   0.0021   0.8382   0.1203   0.7291    12608
       whit_a_0p01   0.1666   0.1250   0.0016   0.8428   0.1165   0.7194    12608

Randomly drop a three month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1405   0.1080  -0.0410   0.8053   0.1181   0.8089    12608
        climo_mean   0.0997   0.0743   0.0017   0.8946   0.0878   0.8948    12608
      climo_median   0.1025   0.0721   0.0012   0.9094   0.0752   0.8893    12608
             conor   0.0891   0.0673   0.0012   0.9180   0.0682   0.9159    12608
     interp_clim_a   0.1023   0.0787  -0.0197   0.8500   0.1029   0.8956    12608
     interp_clim_b   0.1029   0.0790  -0.0197   0.8492   0.1035   0.8943    12608
     interp_clim_c   0.1025   0.0781  -0.0199   0.8574   0.0967   0.8944    12608
       whit_a_0p50   0.1379   0.1043  -0.0194   0.8557   0.0985   0.8057    12608
       whit_a_0p20   0.1389   0.1048  -0.0145   0.8754   0.0873   0.8043    12608
       whit_a_0p10   0.1411   0.1065  -0.0127   0.8840   0.0820   0.7996    12608
       whit_a_0p05   0.1437   0.1085  -0.0118   0.8890   0.0789   0.7941    12608
       whit_a_0p01   0.1475   0.1115  -0.0111   0.8931   0.0763   0.7857    12608

Randomly drop a three month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1749   0.1344   0.0589   0.7622   0.2098   0.6357    12551
        climo_mean   0.1237   0.0947  -0.0007   0.7767   0.1410   0.7803    12551
      climo_median   0.1277   0.0911  -0.0047   0.7918   0.1274   0.7672    12551
             conor   0.1168   0.0889  -0.0014   0.8088   0.1199   0.8042    12551
     interp_clim_a   0.1312   0.1014   0.0291   0.7694   0.1754   0.7650    12551
     interp_clim_b   0.1353   0.1038   0.0315   0.7652   0.1805   0.7517    12551
     interp_clim_c   0.1317   0.1006   0.0271   0.7770   0.1686   0.7618    12551
       whit_a_0p50   0.1717   0.1308   0.0342   0.7768   0.1758   0.6288    12551
       whit_a_0p20   0.1742   0.1320   0.0269   0.7876   0.1616   0.6201    12551
       whit_a_0p10   0.1775   0.1342   0.0237   0.7936   0.1547   0.6108    12551
       whit_a_0p05   0.1808   0.1366   0.0218   0.7977   0.1502   0.6016    12551
       whit_a_0p01   0.1857   0.1402   0.0200   0.8017   0.1458   0.5883    12551

Randomly drop a four month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1749   0.1350   0.0072   0.7192   0.2119   0.6690    12608
        climo_mean   0.1137   0.0849   0.0011   0.8584   0.1043   0.8582    12608
      climo_median   0.1176   0.0821  -0.0017   0.8739   0.0902   0.8492    12608
             conor   0.1061   0.0794   0.0010   0.8784   0.0896   0.8765    12608
     interp_clim_a   0.1248   0.0960   0.0041   0.7888   0.1581   0.8316    12608
     interp_clim_b   0.1273   0.0974   0.0055   0.7852   0.1621   0.8244    12608
     interp_clim_c   0.1252   0.0952   0.0027   0.7966   0.1510   0.8296    12608
       whit_a_0p50   0.1713   0.1301   0.0071   0.7893   0.1607   0.6925    12608
       whit_a_0p20   0.1737   0.1313   0.0065   0.8110   0.1442   0.6908    12608
       whit_a_0p10   0.1769   0.1336   0.0060   0.8205   0.1368   0.6842    12608
       whit_a_0p05   0.1803   0.1362   0.0055   0.8261   0.1323   0.6767    12608
       whit_a_0p01   0.1854   0.1402   0.0049   0.8311   0.1280   0.6649    12608

Randomly drop a four month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1692   0.1301  -0.0445   0.7361   0.1662   0.7245    12608
        climo_mean   0.1011   0.0750   0.0011   0.8961   0.0840   0.8943    12608
      climo_median   0.1041   0.0726   0.0001   0.9117   0.0706   0.8884    12608
             conor   0.0931   0.0698   0.0012   0.9110   0.0723   0.9103    12608
     interp_clim_a   0.1140   0.0881  -0.0217   0.8161   0.1251   0.8742    12608
     interp_clim_b   0.1157   0.0888  -0.0214   0.8141   0.1271   0.8698    12608
     interp_clim_c   0.1141   0.0874  -0.0222   0.8239   0.1184   0.8731    12608
       whit_a_0p50   0.1666   0.1240  -0.0201   0.8052   0.1354   0.7256    12608
       whit_a_0p20   0.1688   0.1252  -0.0144   0.8270   0.1238   0.7223    12608
       whit_a_0p10   0.1721   0.1277  -0.0123   0.8362   0.1185   0.7153    12608
       whit_a_0p05   0.1755   0.1304  -0.0113   0.8411   0.1155   0.7077    12608
       whit_a_0p01   0.1805   0.1345  -0.0107   0.8450   0.1131   0.6959    12608

Randomly drop a four month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1847   0.1418   0.0600   0.7452   0.2275   0.6231    12551
        climo_mean   0.1243   0.0934  -0.0016   0.7908   0.1360   0.7971    12551
      climo_median   0.1282   0.0901  -0.0054   0.8052   0.1227   0.7848    12551
             conor   0.1175   0.0883  -0.0024   0.8174   0.1176   0.8186    12551
     interp_clim_a   0.1352   0.1034   0.0292   0.7680   0.1818   0.7710    12551
     interp_clim_b   0.1394   0.1060   0.0318   0.7632   0.1875   0.7580    12551
     interp_clim_c   0.1357   0.1028   0.0273   0.7752   0.1751   0.7679    12551
       whit_a_0p50   0.1796   0.1367   0.0358   0.7769   0.1825   0.6280    12551
       whit_a_0p20   0.1822   0.1380   0.0280   0.7893   0.1665   0.6202    12551
       whit_a_0p10   0.1856   0.1405   0.0245   0.7957   0.1588   0.6111    12551
       whit_a_0p05   0.1890   0.1432   0.0224   0.7999   0.1540   0.6020    12551
       whit_a_0p01   0.1942   0.1473   0.0203   0.8041   0.1491   0.5887    12551

Randomly drop a six month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2105   0.1635  -0.0028   0.6501   0.2550   0.5392    12608
        climo_mean   0.1117   0.0836   0.0000   0.8634   0.1007   0.8638    12608
      climo_median   0.1146   0.0808  -0.0022   0.8802   0.0861   0.8573    12608
             conor   0.1064   0.0798  -0.0006   0.8773   0.0898   0.8763    12608
     interp_clim_a   0.1370   0.1063  -0.0014   0.7567   0.1778   0.7972    12608
     interp_clim_b   0.1400   0.1082   0.0002   0.7522   0.1827   0.7875    12608
     interp_clim_c   0.1368   0.1056  -0.0025   0.7651   0.1705   0.7970    12608
       whit_a_0p50   0.2119   0.1601  -0.0040   0.7222   0.2006   0.5581    12608
       whit_a_0p20   0.2152   0.1617  -0.0043   0.7470   0.1821   0.5583    12608
       whit_a_0p10   0.2192   0.1645  -0.0047   0.7579   0.1737   0.5523    12608
       whit_a_0p05   0.2231   0.1676  -0.0051   0.7641   0.1687   0.5449    12608
       whit_a_0p01   0.2288   0.1723  -0.0057   0.7693   0.1643   0.5332    12608

Randomly drop a six month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2181   0.1688  -0.0365   0.6225   0.2506   0.5357    12608
        climo_mean   0.1073   0.0801   0.0020   0.8749   0.0971   0.8809    12608
      climo_median   0.1106   0.0778   0.0006   0.8893   0.0848   0.8737    12608
             conor   0.1029   0.0766   0.0024   0.8865   0.0886   0.8906    12608
     interp_clim_a   0.1384   0.1076  -0.0172   0.7487   0.1738   0.8095    12608
     interp_clim_b   0.1411   0.1090  -0.0160   0.7442   0.1785   0.8009    12608
     interp_clim_c   0.1385   0.1070  -0.0179   0.7559   0.1677   0.8085    12608
       whit_a_0p50   0.2233   0.1673  -0.0265   0.6915   0.2081   0.5363    12608
       whit_a_0p20   0.2267   0.1690  -0.0214   0.7168   0.1939   0.5349    12608
       whit_a_0p10   0.2311   0.1722  -0.0188   0.7279   0.1880   0.5275    12608
       whit_a_0p05   0.2353   0.1755  -0.0172   0.7341   0.1849   0.5192    12608
       whit_a_0p01   0.2413   0.1801  -0.0158   0.7387   0.1828   0.5065    12608

Randomly drop a six month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2055   0.1597   0.0434   0.6875   0.2628   0.5609    12551
        climo_mean   0.1178   0.0880   0.0002   0.8356   0.1157   0.8393    12551
      climo_median   0.1209   0.0849  -0.0027   0.8523   0.1010   0.8313    12551
             conor   0.1123   0.0839  -0.0004   0.8500   0.1049   0.8540    12551
     interp_clim_a   0.1389   0.1077   0.0218   0.7616   0.1892   0.7826    12551
     interp_clim_b   0.1427   0.1100   0.0240   0.7568   0.1948   0.7712    12551
     interp_clim_c   0.1388   0.1068   0.0203   0.7699   0.1819   0.7817    12551
       whit_a_0p50   0.1985   0.1526   0.0310   0.7539   0.2039   0.5964    12551
       whit_a_0p20   0.2006   0.1541   0.0253   0.7731   0.1846   0.5946    12551
       whit_a_0p10   0.2043   0.1569   0.0219   0.7814   0.1754   0.5865    12551
       whit_a_0p05   0.2083   0.1600   0.0194   0.7861   0.1696   0.5773    12551
       whit_a_0p01   0.2142   0.1647   0.0166   0.7899   0.1641   0.5629    12551

