MGRS: 15S
NLCD: 

Randomly drop one datapoint during the year
            method     rmse      mae      mbe        m        b       r2        n
       whit_a_0p20   0.1247   0.0963   0.0081   0.7863   0.1300   0.7226     8447
       whit_a_0p10   0.1256   0.0970   0.0061   0.7963   0.1223   0.7202     8447
       whit_a_0p05   0.1269   0.0980   0.0049   0.8030   0.1173   0.7163     8447
       whit_a_0p01   0.1292   0.0999   0.0038   0.8100   0.1122   0.7092     8447

Randomly drop one datapoint during the winter
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1306   0.1010   0.0316   0.7351   0.1647   0.6415     8434
        climo_mean   0.1312   0.0998   0.0037   0.6034   0.2032   0.6015     8434
      climo_median   0.1339   0.0956  -0.0006   0.6277   0.1866   0.5874     8434
             conor   0.1145   0.0881   0.0017   0.7639   0.1205   0.7017     8434
     interp_clim_a   0.1167   0.0904   0.0176   0.6692   0.1839   0.6922     8434
     interp_clim_b   0.1168   0.0904   0.0179   0.6705   0.1835   0.6919     8434
     interp_clim_c   0.1173   0.0892   0.0155   0.6814   0.1757   0.6871     8434
       whit_a_0p50   0.1282   0.0986   0.0131   0.7346   0.1465   0.6377     8434
       whit_a_0p20   0.1285   0.0985   0.0060   0.7469   0.1332   0.6371     8434
       whit_a_0p10   0.1297   0.0994   0.0037   0.7542   0.1273   0.6334     8434
       whit_a_0p05   0.1312   0.1005   0.0028   0.7596   0.1237   0.6286     8434
       whit_a_0p01   0.1336   0.1024   0.0023   0.7657   0.1201   0.6204     8434

Randomly drop a two month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1387   0.1072   0.0003   0.7541   0.1793   0.7822     8448
        climo_mean   0.1232   0.0917   0.0028   0.8298   0.1267   0.8275     8448
      climo_median   0.1276   0.0885   0.0061   0.8552   0.1115   0.8171     8448
             conor   0.1052   0.0800  -0.0000   0.8797   0.0876   0.8742     8448
     interp_clim_a   0.1136   0.0880   0.0015   0.7920   0.1530   0.8585     8448
     interp_clim_b   0.1137   0.0882   0.0017   0.7915   0.1535   0.8581     8448
     interp_clim_c   0.1139   0.0865   0.0032   0.8047   0.1454   0.8556     8448
       whit_a_0p50   0.1355   0.1033  -0.0002   0.8144   0.1349   0.7917     8448
       whit_a_0p20   0.1353   0.1030  -0.0009   0.8417   0.1143   0.7946     8448
       whit_a_0p10   0.1364   0.1037  -0.0012   0.8546   0.1047   0.7933     8448
       whit_a_0p05   0.1378   0.1048  -0.0014   0.8626   0.0986   0.7905     8448
       whit_a_0p01   0.1404   0.1068  -0.0017   0.8706   0.0926   0.7851     8448

Randomly drop a two month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1266   0.0982  -0.0476   0.8155   0.1163   0.8053     8448
        climo_mean   0.1180   0.0860   0.0051   0.8022   0.1808   0.8030     8448
      climo_median   0.1237   0.0835   0.0145   0.8166   0.1775   0.7872     8448
             conor   0.0968   0.0731   0.0022   0.8697   0.1179   0.8673     8448
     interp_clim_a   0.1053   0.0812  -0.0213   0.8089   0.1486   0.8514     8448
     interp_clim_b   0.1054   0.0813  -0.0214   0.8089   0.1484   0.8513     8448
     interp_clim_c   0.1055   0.0797  -0.0166   0.8161   0.1469   0.8473     8448
       whit_a_0p50   0.1244   0.0948  -0.0250   0.8495   0.1088   0.7935     8448
       whit_a_0p20   0.1230   0.0937  -0.0180   0.8697   0.0978   0.7970     8448
       whit_a_0p10   0.1232   0.0940  -0.0149   0.8794   0.0922   0.7967     8448
       whit_a_0p05   0.1241   0.0947  -0.0131   0.8855   0.0887   0.7947     8448
       whit_a_0p01   0.1261   0.0964  -0.0112   0.8912   0.0855   0.7897     8448

Randomly drop a two month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1483   0.1154   0.0513   0.7299   0.2058   0.6573     8447
        climo_mean   0.1304   0.0982   0.0001   0.6882   0.1785   0.6921     8447
      climo_median   0.1343   0.0948  -0.0019   0.7121   0.1628   0.6755     8447
             conor   0.1137   0.0869  -0.0004   0.7670   0.1329   0.7659     8447
     interp_clim_a   0.1225   0.0949   0.0257   0.7091   0.1922   0.7417     8447
     interp_clim_b   0.1229   0.0952   0.0262   0.7090   0.1926   0.7403     8447
     interp_clim_c   0.1232   0.0939   0.0247   0.7210   0.1843   0.7367     8447
       whit_a_0p50   0.1432   0.1108   0.0278   0.7494   0.1711   0.6560     8447
       whit_a_0p20   0.1446   0.1115   0.0207   0.7691   0.1528   0.6508     8447
       whit_a_0p10   0.1470   0.1134   0.0176   0.7786   0.1443   0.6431     8447
       whit_a_0p05   0.1495   0.1154   0.0156   0.7841   0.1391   0.6349     8447
       whit_a_0p01   0.1534   0.1185   0.0134   0.7890   0.1342   0.6220     8447

Randomly drop a three month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1628   0.1271  -0.0010   0.6718   0.2390   0.6972     8448
        climo_mean   0.1221   0.0910   0.0027   0.8322   0.1254   0.8293     8448
      climo_median   0.1262   0.0875   0.0062   0.8557   0.1117   0.8195     8448
             conor   0.1096   0.0827   0.0004   0.8633   0.1004   0.8625     8448
     interp_clim_a   0.1229   0.0953   0.0009   0.7520   0.1822   0.8353     8448
     interp_clim_b   0.1233   0.0956   0.0012   0.7509   0.1833   0.8340     8448
     interp_clim_c   0.1229   0.0939   0.0026   0.7638   0.1753   0.8329     8448
       whit_a_0p50   0.1537   0.1175  -0.0018   0.7644   0.1706   0.7311     8448
       whit_a_0p20   0.1557   0.1187  -0.0020   0.7936   0.1489   0.7282     8448
       whit_a_0p10   0.1586   0.1209  -0.0020   0.8069   0.1392   0.7219     8448
       whit_a_0p05   0.1615   0.1232  -0.0021   0.8149   0.1332   0.7151     8448
       whit_a_0p01   0.1658   0.1266  -0.0022   0.8228   0.1274   0.7050     8448

Randomly drop a three month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1511   0.1187  -0.0688   0.7626   0.1376   0.7594     8448
        climo_mean   0.1198   0.0872   0.0052   0.8080   0.1721   0.8097     8448
      climo_median   0.1246   0.0840   0.0135   0.8257   0.1650   0.7973     8448
             conor   0.1029   0.0770   0.0027   0.8560   0.1279   0.8595     8448
     interp_clim_a   0.1150   0.0896  -0.0318   0.7853   0.1548   0.8415     8448
     interp_clim_b   0.1151   0.0897  -0.0320   0.7852   0.1548   0.8413     8448
     interp_clim_c   0.1144   0.0876  -0.0277   0.7941   0.1513   0.8386     8448
       whit_a_0p50   0.1434   0.1092  -0.0356   0.8248   0.1167   0.7508     8448
       whit_a_0p20   0.1447   0.1101  -0.0285   0.8501   0.1018   0.7468     8448
       whit_a_0p10   0.1469   0.1117  -0.0259   0.8623   0.0937   0.7418     8448
       whit_a_0p05   0.1492   0.1135  -0.0246   0.8700   0.0883   0.7366     8448
       whit_a_0p01   0.1526   0.1162  -0.0236   0.8774   0.0829   0.7283     8448

Randomly drop a three month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1682   0.1319   0.0717   0.7043   0.2462   0.6369     8447
        climo_mean   0.1277   0.0963   0.0014   0.7347   0.1581   0.7394     8447
      climo_median   0.1312   0.0924  -0.0002   0.7607   0.1411   0.7265     8447
             conor   0.1145   0.0874   0.0003   0.7871   0.1259   0.7903     8447
     interp_clim_a   0.1283   0.0999   0.0366   0.7195   0.2021   0.7604     8447
     interp_clim_b   0.1289   0.1003   0.0373   0.7189   0.2032   0.7585     8447
     interp_clim_c   0.1285   0.0988   0.0358   0.7325   0.1936   0.7571     8447
       whit_a_0p50   0.1566   0.1210   0.0375   0.7488   0.1858   0.6466     8447
       whit_a_0p20   0.1583   0.1221   0.0299   0.7755   0.1624   0.6417     8447
       whit_a_0p10   0.1614   0.1246   0.0269   0.7889   0.1515   0.6332     8447
       whit_a_0p05   0.1647   0.1273   0.0251   0.7973   0.1447   0.6243     8447
       whit_a_0p01   0.1695   0.1311   0.0233   0.8053   0.1382   0.6110     8447

Randomly drop a four month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1886   0.1496   0.0018   0.5980   0.2944   0.5867     8448
        climo_mean   0.1221   0.0907   0.0028   0.8295   0.1269   0.8267     8448
      climo_median   0.1263   0.0877   0.0064   0.8537   0.1129   0.8166     8448
             conor   0.1127   0.0845   0.0023   0.8555   0.1075   0.8524     8448
     interp_clim_a   0.1327   0.1043   0.0023   0.7137   0.2107   0.8057     8448
     interp_clim_b   0.1334   0.1048   0.0027   0.7122   0.2122   0.8037     8448
     interp_clim_c   0.1322   0.1028   0.0041   0.7259   0.2037   0.8046     8448
       whit_a_0p50   0.1730   0.1333  -0.0002   0.7153   0.2070   0.6570     8448
       whit_a_0p20   0.1754   0.1346  -0.0005   0.7514   0.1804   0.6563     8448
       whit_a_0p10   0.1791   0.1375  -0.0007   0.7680   0.1682   0.6490     8448
       whit_a_0p05   0.1829   0.1406  -0.0010   0.7780   0.1606   0.6406     8448
       whit_a_0p01   0.1884   0.1450  -0.0013   0.7876   0.1533   0.6279     8448

Randomly drop a four month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1816   0.1442  -0.0806   0.6756   0.1937   0.6681     8448
        climo_mean   0.1206   0.0883   0.0037   0.8221   0.1541   0.8180     8448
      climo_median   0.1257   0.0855   0.0113   0.8399   0.1467   0.8050     8448
             conor   0.1094   0.0811   0.0022   0.8527   0.1268   0.8502     8448
     interp_clim_a   0.1277   0.1004  -0.0384   0.7488   0.1739   0.8204     8448
     interp_clim_b   0.1279   0.1006  -0.0386   0.7484   0.1741   0.8200     8448
     interp_clim_c   0.1269   0.0987  -0.0346   0.7577   0.1702   0.8176     8448
       whit_a_0p50   0.1664   0.1259  -0.0430   0.7687   0.1526   0.6862     8448
       whit_a_0p20   0.1697   0.1275  -0.0339   0.7946   0.1397   0.6748     8448
       whit_a_0p10   0.1739   0.1306  -0.0303   0.8056   0.1340   0.6632     8448
       whit_a_0p05   0.1779   0.1336  -0.0284   0.8118   0.1308   0.6525     8448
       whit_a_0p01   0.1834   0.1377  -0.0268   0.8170   0.1279   0.6379     8448

Randomly drop a four month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1890   0.1489   0.0780   0.6467   0.2983   0.5830     8447
        climo_mean   0.1248   0.0948   0.0007   0.7785   0.1388   0.7773     8447
      climo_median   0.1278   0.0912   0.0002   0.8035   0.1227   0.7682     8447
             conor   0.1148   0.0876  -0.0003   0.8122   0.1168   0.8116     8447
     interp_clim_a   0.1341   0.1051   0.0394   0.7126   0.2185   0.7691     8447
     interp_clim_b   0.1349   0.1057   0.0402   0.7112   0.2203   0.7669     8447
     interp_clim_c   0.1338   0.1038   0.0391   0.7251   0.2105   0.7684     8447
       whit_a_0p50   0.1714   0.1327   0.0412   0.7200   0.2158   0.6204     8447
       whit_a_0p20   0.1726   0.1335   0.0324   0.7508   0.1878   0.6177     8447
       whit_a_0p10   0.1761   0.1364   0.0287   0.7659   0.1747   0.6087     8447
       whit_a_0p05   0.1801   0.1395   0.0266   0.7756   0.1665   0.5985     8447
       whit_a_0p01   0.1861   0.1442   0.0245   0.7849   0.1586   0.5830     8447

Randomly drop a six month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2427   0.1938   0.0002   0.4778   0.3814   0.3626     8448
        climo_mean   0.1220   0.0911   0.0034   0.8323   0.1258   0.8299     8448
      climo_median   0.1249   0.0871   0.0067   0.8590   0.1096   0.8236     8448
             conor   0.1153   0.0867   0.0019   0.8491   0.1120   0.8479     8448
     interp_clim_a   0.1535   0.1221   0.0018   0.6551   0.2536   0.7403     8448
     interp_clim_b   0.1546   0.1229   0.0023   0.6527   0.2558   0.7363     8448
     interp_clim_c   0.1520   0.1201   0.0035   0.6684   0.2455   0.7435     8448
       whit_a_0p50   0.2201   0.1701  -0.0022   0.6105   0.2821   0.4808     8448
       whit_a_0p20   0.2190   0.1678  -0.0032   0.6530   0.2501   0.4989     8448
       whit_a_0p10   0.2216   0.1694  -0.0040   0.6721   0.2354   0.4986     8448
       whit_a_0p05   0.2250   0.1720  -0.0047   0.6833   0.2265   0.4938     8448
       whit_a_0p01   0.2306   0.1764  -0.0056   0.6928   0.2186   0.4831     8448

Randomly drop a six month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2401   0.1918  -0.0635   0.4949   0.3289   0.3985     8448
        climo_mean   0.1196   0.0889   0.0045   0.8405   0.1285   0.8337     8448
      climo_median   0.1247   0.0858   0.0096   0.8638   0.1154   0.8221     8448
             conor   0.1129   0.0845   0.0040   0.8561   0.1158   0.8517     8448
     interp_clim_a   0.1504   0.1201  -0.0295   0.6677   0.2287   0.7573     8448
     interp_clim_b   0.1509   0.1205  -0.0294   0.6662   0.2299   0.7552     8448
     interp_clim_c   0.1489   0.1182  -0.0270   0.6793   0.2221   0.7582     8448
       whit_a_0p50   0.2161   0.1664  -0.0442   0.6295   0.2436   0.5078     8448
       whit_a_0p20   0.2153   0.1641  -0.0363   0.6730   0.2177   0.5200     8448
       whit_a_0p10   0.2185   0.1659  -0.0324   0.6918   0.2070   0.5157     8448
       whit_a_0p05   0.2227   0.1689  -0.0299   0.7022   0.2014   0.5073     8448
       whit_a_0p01   0.2293   0.1738  -0.0274   0.7106   0.1974   0.4925     8448

Randomly drop a six month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2406   0.1904   0.0638   0.5151   0.3978   0.3910     8447
        climo_mean   0.1243   0.0921   0.0014   0.8169   0.1275   0.8140     8447
      climo_median   0.1277   0.0885   0.0038   0.8421   0.1125   0.8054     8447
             conor   0.1166   0.0869  -0.0002   0.8363   0.1126   0.8362     8447
     interp_clim_a   0.1535   0.1206   0.0326   0.6660   0.2627   0.7355     8447
     interp_clim_b   0.1548   0.1216   0.0335   0.6634   0.2654   0.7308     8447
     interp_clim_c   0.1527   0.1192   0.0338   0.6786   0.2552   0.7373     8447
       whit_a_0p50   0.2191   0.1697   0.0460   0.6377   0.2955   0.4910     8447
       whit_a_0p20   0.2179   0.1679   0.0378   0.6755   0.2613   0.5035     8447
       whit_a_0p10   0.2202   0.1695   0.0330   0.6921   0.2451   0.5013     8447
       whit_a_0p05   0.2233   0.1718   0.0294   0.7016   0.2349   0.4954     8447
       whit_a_0p01   0.2286   0.1757   0.0253   0.7099   0.2252   0.4838     8447

