MGRS: 
NLCD: 52

Randomly drop one datapoint during the year
            method     rmse      mae      mbe        m        b       r2        n
       whit_a_0p05   0.0985   0.0734  -0.0006   0.9404   0.0375   0.9202    12614
       whit_a_0p01   0.1000   0.0745  -0.0000   0.9445   0.0356   0.9181    12614

Randomly drop one datapoint in the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1334   0.0988   0.0195   0.8308   0.1007   0.7483    12540
        climo_mean   0.1335   0.0996   0.0019   0.7380   0.1276   0.7332    12540
      climo_median   0.1384   0.0960  -0.0025   0.7576   0.1138   0.7157    12540
             conor   0.1120   0.0839  -0.0017   0.8442   0.0731   0.8132    12540
     interp_clim_a   0.1175   0.0882   0.0107   0.7844   0.1141   0.7952    12540
     interp_clim_b   0.1190   0.0890   0.0113   0.7849   0.1145   0.7900    12540
     interp_clim_c   0.1188   0.0873   0.0085   0.7942   0.1072   0.7896    12540
       whit_a_0p50   0.1339   0.0991   0.0105   0.8301   0.0920   0.7431    12540
       whit_a_0p20   0.1343   0.0991   0.0059   0.8354   0.0849   0.7422    12540
       whit_a_0p10   0.1356   0.0999   0.0040   0.8389   0.0814   0.7385    12540
       whit_a_0p05   0.1372   0.1011   0.0030   0.8415   0.0790   0.7339    12540
       whit_a_0p01   0.1399   0.1031   0.0020   0.8443   0.0767   0.7262    12540

Randomly drop one datapoint during the winter
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1341   0.0996   0.0167   0.7855   0.1108   0.6953    10653
        climo_mean   0.1348   0.1019   0.0051   0.6827   0.1444   0.6758    10653
      climo_median   0.1396   0.0973  -0.0012   0.7013   0.1300   0.6552    10653
             conor   0.1166   0.0878   0.0017   0.8101   0.0851   0.7605    10653
     interp_clim_a   0.1197   0.0906   0.0109   0.7341   0.1276   0.7463    10653
     interp_clim_b   0.1219   0.0918   0.0119   0.7352   0.1282   0.7368    10653
     interp_clim_c   0.1210   0.0892   0.0077   0.7434   0.1204   0.7393    10653
       whit_a_0p50   0.1349   0.0998   0.0032   0.7749   0.1020   0.6865    10653
       whit_a_0p20   0.1364   0.1007   0.0001   0.7805   0.0965   0.6818    10653
       whit_a_0p10   0.1382   0.1018  -0.0006   0.7848   0.0939   0.6762    10653
       whit_a_0p05   0.1401   0.1032  -0.0008   0.7882   0.0922   0.6702    10653
       whit_a_0p01   0.1430   0.1054  -0.0006   0.7922   0.0907   0.6608    10653

Randomly drop a two month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1372   0.1022   0.0016   0.8243   0.1012   0.8162    12614
        climo_mean   0.1243   0.0921   0.0028   0.8512   0.0871   0.8493    12614
      climo_median   0.1281   0.0888   0.0042   0.8795   0.0725   0.8416    12614
             conor   0.1020   0.0763  -0.0008   0.8964   0.0579   0.8985    12614
     interp_clim_a   0.1125   0.0849   0.0022   0.8378   0.0942   0.8782    12614
     interp_clim_b   0.1137   0.0855   0.0026   0.8373   0.0949   0.8756    12614
     interp_clim_c   0.1129   0.0837   0.0029   0.8519   0.0868   0.8763    12614
       whit_a_0p50   0.1359   0.1006   0.0006   0.8579   0.0811   0.8212    12614
       whit_a_0p20   0.1360   0.1005   0.0001   0.8761   0.0703   0.8228    12614
       whit_a_0p10   0.1375   0.1016  -0.0002   0.8845   0.0653   0.8203    12614
       whit_a_0p05   0.1394   0.1030  -0.0004   0.8896   0.0622   0.8168    12614
       whit_a_0p01   0.1424   0.1054  -0.0007   0.8942   0.0593   0.8107    12614

Randomly drop a two month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1235   0.0932  -0.0246   0.8477   0.0728   0.8818    12614
        climo_mean   0.1214   0.0886   0.0058   0.8850   0.0793   0.8800    12614
      climo_median   0.1263   0.0860   0.0114   0.9128   0.0672   0.8728    12614
             conor   0.0928   0.0695   0.0020   0.9265   0.0490   0.9298    12614
     interp_clim_a   0.1040   0.0793  -0.0094   0.8663   0.0761   0.9150    12614
     interp_clim_b   0.1042   0.0794  -0.0095   0.8661   0.0762   0.9147    12614
     interp_clim_c   0.1044   0.0779  -0.0066   0.8802   0.0700   0.9126    12614
       whit_a_0p50   0.1212   0.0907  -0.0131   0.8841   0.0610   0.8816    12614
       whit_a_0p20   0.1199   0.0895  -0.0097   0.9031   0.0523   0.8840    12614
       whit_a_0p10   0.1206   0.0900  -0.0083   0.9117   0.0482   0.8828    12614
       whit_a_0p05   0.1220   0.0910  -0.0074   0.9168   0.0458   0.8806    12614
       whit_a_0p01   0.1244   0.0930  -0.0066   0.9215   0.0437   0.8764    12614

Randomly drop a two month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1547   0.1154   0.0372   0.8162   0.1252   0.6759    12540
        climo_mean   0.1347   0.1012   0.0016   0.7230   0.1341   0.7159    12540
      climo_median   0.1399   0.0979  -0.0022   0.7445   0.1199   0.6970    12540
             conor   0.1173   0.0882  -0.0010   0.7928   0.0981   0.7848    12540
     interp_clim_a   0.1271   0.0962   0.0194   0.7696   0.1297   0.7532    12540
     interp_clim_b   0.1294   0.0975   0.0209   0.7698   0.1310   0.7454    12540
     interp_clim_c   0.1284   0.0953   0.0175   0.7804   0.1226   0.7482    12540
       whit_a_0p50   0.1536   0.1146   0.0208   0.8123   0.1105   0.6683    12540
       whit_a_0p20   0.1552   0.1154   0.0152   0.8176   0.1025   0.6627    12540
       whit_a_0p10   0.1576   0.1171   0.0128   0.8209   0.0985   0.6555    12540
       whit_a_0p05   0.1601   0.1190   0.0113   0.8234   0.0958   0.6480    12540
       whit_a_0p01   0.1640   0.1221   0.0099   0.8261   0.0930   0.6368    12540

Randomly drop a three month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1595   0.1205   0.0031   0.7796   0.1278   0.7479    12614
        climo_mean   0.1274   0.0947   0.0032   0.8450   0.0909   0.8386    12614
      climo_median   0.1321   0.0918   0.0045   0.8743   0.0756   0.8289    12614
             conor   0.1102   0.0826   0.0009   0.8758   0.0711   0.8789    12614
     interp_clim_a   0.1229   0.0936   0.0032   0.8123   0.1093   0.8513    12614
     interp_clim_b   0.1246   0.0946   0.0039   0.8112   0.1107   0.8469    12614
     interp_clim_c   0.1232   0.0925   0.0038   0.8269   0.1017   0.8495    12614
       whit_a_0p50   0.1564   0.1165   0.0027   0.8280   0.0999   0.7622    12614
       whit_a_0p20   0.1571   0.1167   0.0020   0.8465   0.0889   0.7632    12614
       whit_a_0p10   0.1593   0.1183   0.0017   0.8548   0.0838   0.7593    12614
       whit_a_0p05   0.1618   0.1202   0.0014   0.8598   0.0807   0.7542    12614
       whit_a_0p01   0.1656   0.1233   0.0012   0.8643   0.0779   0.7456    12614

Randomly drop a three month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1480   0.1115  -0.0313   0.7960   0.0972   0.8300    12614
        climo_mean   0.1193   0.0871   0.0063   0.8905   0.0753   0.8837    12614
      climo_median   0.1239   0.0846   0.0112   0.9181   0.0629   0.8771    12614
             conor   0.0998   0.0741   0.0040   0.9177   0.0559   0.9186    12614
     interp_clim_a   0.1121   0.0856  -0.0125   0.8433   0.0862   0.9021    12614
     interp_clim_b   0.1126   0.0858  -0.0126   0.8427   0.0865   0.9012    12614
     interp_clim_c   0.1118   0.0840  -0.0101   0.8571   0.0800   0.9006    12614
       whit_a_0p50   0.1459   0.1079  -0.0148   0.8534   0.0776   0.8281    12614
       whit_a_0p20   0.1463   0.1078  -0.0111   0.8749   0.0677   0.8283    12614
       whit_a_0p10   0.1484   0.1092  -0.0097   0.8844   0.0631   0.8247    12614
       whit_a_0p05   0.1508   0.1110  -0.0089   0.8900   0.0604   0.8202    12614
       whit_a_0p01   0.1546   0.1139  -0.0081   0.8947   0.0583   0.8129    12614

Randomly drop a three month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1705   0.1278   0.0487   0.8224   0.1355   0.6476    12540
        climo_mean   0.1343   0.1011   0.0024   0.7334   0.1325   0.7299    12540
      climo_median   0.1391   0.0973  -0.0012   0.7561   0.1179   0.7130    12540
             conor   0.1195   0.0899   0.0006   0.7864   0.1049   0.7862    12540
     interp_clim_a   0.1322   0.1004   0.0255   0.7779   0.1340   0.7491    12540
     interp_clim_b   0.1355   0.1023   0.0273   0.7770   0.1362   0.7383    12540
     interp_clim_c   0.1333   0.0996   0.0238   0.7893   0.1267   0.7452    12540
       whit_a_0p50   0.1678   0.1252   0.0293   0.8219   0.1162   0.6419    12540
       whit_a_0p20   0.1700   0.1267   0.0234   0.8281   0.1073   0.6346    12540
       whit_a_0p10   0.1730   0.1291   0.0208   0.8321   0.1028   0.6262    12540
       whit_a_0p05   0.1761   0.1316   0.0192   0.8351   0.0997   0.6179    12540
       whit_a_0p01   0.1805   0.1353   0.0176   0.8380   0.0967   0.6059    12540

Randomly drop a four month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1770   0.1335   0.0034   0.7479   0.1457   0.6919    12614
        climo_mean   0.1280   0.0944   0.0039   0.8479   0.0898   0.8368    12614
      climo_median   0.1326   0.0913   0.0045   0.8757   0.0747   0.8275    12614
             conor   0.1146   0.0849   0.0019   0.8724   0.0739   0.8690    12614
     interp_clim_a   0.1300   0.0989   0.0037   0.7979   0.1178   0.8330    12614
     interp_clim_b   0.1320   0.1000   0.0046   0.7962   0.1196   0.8274    12614
     interp_clim_c   0.1301   0.0976   0.0040   0.8118   0.1102   0.8318    12614
       whit_a_0p50   0.1743   0.1299   0.0035   0.8098   0.1109   0.7106    12614
       whit_a_0p20   0.1768   0.1313   0.0025   0.8280   0.0996   0.7082    12614
       whit_a_0p10   0.1802   0.1337   0.0018   0.8358   0.0945   0.7017    12614
       whit_a_0p05   0.1835   0.1363   0.0013   0.8401   0.0916   0.6944    12614
       whit_a_0p01   0.1885   0.1402   0.0006   0.8435   0.0890   0.6831    12614

Randomly drop a four month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1718   0.1306  -0.0365   0.7365   0.1271   0.7695    12614
        climo_mean   0.1192   0.0871   0.0056   0.8914   0.0730   0.8834    12614
      climo_median   0.1237   0.0845   0.0098   0.9194   0.0598   0.8769    12614
             conor   0.1044   0.0771   0.0039   0.9101   0.0597   0.9104    12614
     interp_clim_a   0.1209   0.0929  -0.0154   0.8140   0.1000   0.8879    12614
     interp_clim_b   0.1217   0.0934  -0.0153   0.8130   0.1008   0.8860    12614
     interp_clim_c   0.1201   0.0913  -0.0133   0.8280   0.0934   0.8866    12614
       whit_a_0p50   0.1699   0.1259  -0.0167   0.8118   0.1001   0.7674    12614
       whit_a_0p20   0.1715   0.1265  -0.0119   0.8354   0.0903   0.7656    12614
       whit_a_0p10   0.1743   0.1284  -0.0100   0.8451   0.0861   0.7603    12614
       whit_a_0p05   0.1773   0.1307  -0.0091   0.8503   0.0839   0.7542    12614
       whit_a_0p01   0.1818   0.1341  -0.0084   0.8542   0.0821   0.7447    12614

Randomly drop a four month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1811   0.1373   0.0498   0.8114   0.1450   0.6326    12540
        climo_mean   0.1343   0.1004   0.0031   0.7584   0.1250   0.7513    12540
      climo_median   0.1391   0.0971   0.0009   0.7842   0.1097   0.7362    12540
             conor   0.1213   0.0912   0.0012   0.7953   0.1044   0.7972    12540
     interp_clim_a   0.1362   0.1039   0.0265   0.7849   0.1350   0.7551    12540
     interp_clim_b   0.1396   0.1059   0.0283   0.7834   0.1376   0.7443    12540
     interp_clim_c   0.1369   0.1031   0.0253   0.7978   0.1273   0.7530    12540
       whit_a_0p50   0.1772   0.1332   0.0298   0.8207   0.1203   0.6342    12540
       whit_a_0p20   0.1792   0.1344   0.0237   0.8276   0.1106   0.6281    12540
       whit_a_0p10   0.1825   0.1367   0.0210   0.8318   0.1059   0.6196    12540
       whit_a_0p05   0.1859   0.1393   0.0195   0.8346   0.1029   0.6108    12540
       whit_a_0p01   0.1909   0.1432   0.0182   0.8375   0.1001   0.5979    12540

Randomly drop a six month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2116   0.1607   0.0023   0.6844   0.1804   0.5779    12614
        climo_mean   0.1254   0.0928   0.0052   0.8506   0.0895   0.8451    12614
      climo_median   0.1297   0.0896   0.0062   0.8789   0.0746   0.8367    12614
             conor   0.1164   0.0864   0.0037   0.8660   0.0793   0.8664    12614
     interp_clim_a   0.1422   0.1090   0.0037   0.7675   0.1350   0.8022    12614
     interp_clim_b   0.1449   0.1107   0.0048   0.7652   0.1374   0.7942    12614
     interp_clim_c   0.1416   0.1077   0.0043   0.7817   0.1275   0.8029    12614
       whit_a_0p50   0.2149   0.1599   0.0014   0.7433   0.1463   0.5865    12614
       whit_a_0p20   0.2176   0.1615   0.0008   0.7637   0.1342   0.5866    12614
       whit_a_0p10   0.2212   0.1644   0.0001   0.7724   0.1287   0.5807    12614
       whit_a_0p05   0.2247   0.1673  -0.0004   0.7770   0.1255   0.5738    12614
       whit_a_0p01   0.2299   0.1715  -0.0011   0.7807   0.1226   0.5629    12614

Randomly drop a six month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2151   0.1625  -0.0327   0.6347   0.1818   0.6015    12614
        climo_mean   0.1204   0.0892   0.0055   0.8782   0.0770   0.8720    12614
      climo_median   0.1242   0.0864   0.0072   0.9056   0.0627   0.8656    12614
             conor   0.1113   0.0830   0.0041   0.8914   0.0678   0.8904    12614
     interp_clim_a   0.1395   0.1079  -0.0136   0.7564   0.1294   0.8371    12614
     interp_clim_b   0.1412   0.1090  -0.0129   0.7544   0.1313   0.8321    12614
     interp_clim_c   0.1380   0.1060  -0.0127   0.7701   0.1222   0.8384    12614
       whit_a_0p50   0.2236   0.1642  -0.0252   0.7052   0.1480   0.5868    12614
       whit_a_0p20   0.2269   0.1664  -0.0212   0.7333   0.1354   0.5852    12614
       whit_a_0p10   0.2308   0.1696  -0.0191   0.7460   0.1300   0.5793    12614
       whit_a_0p05   0.2346   0.1728  -0.0177   0.7535   0.1270   0.5726    12614
       whit_a_0p01   0.2397   0.1771  -0.0163   0.7599   0.1247   0.5626    12614

Randomly drop a six month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2091   0.1602   0.0397   0.7665   0.1658   0.5759    12540
        climo_mean   0.1310   0.0982   0.0039   0.8106   0.1062   0.8018    12540
      climo_median   0.1355   0.0951   0.0038   0.8390   0.0907   0.7909    12540
             conor   0.1223   0.0917   0.0029   0.8305   0.0945   0.8273    12540
     interp_clim_a   0.1455   0.1117   0.0218   0.7885   0.1360   0.7618    12540
     interp_clim_b   0.1490   0.1140   0.0235   0.7865   0.1388   0.7515    12540
     interp_clim_c   0.1460   0.1111   0.0217   0.8027   0.1283   0.7613    12540
       whit_a_0p50   0.2053   0.1557   0.0309   0.8118   0.1325   0.5992    12540
       whit_a_0p20   0.2076   0.1570   0.0264   0.8230   0.1220   0.5963    12540
       whit_a_0p10   0.2111   0.1596   0.0239   0.8269   0.1173   0.5883    12540
       whit_a_0p05   0.2147   0.1623   0.0221   0.8287   0.1146   0.5796    12540
       whit_a_0p01   0.2202   0.1664   0.0200   0.8294   0.1122   0.5664    12540

