MGRS: 
NLCD: 82

Randomly drop one datapoint in each year
            method     rmse      mae      mbe        m        b       r2        n
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1431   0.1087   0.0202   0.7203   0.1664   0.6261    12582
        climo_mean   0.1483   0.1157  -0.0003   0.5760   0.2215   0.5747    12582
      climo_median   0.1525   0.1112  -0.0035   0.5997   0.2059   0.5541    12582
             conor   0.1236   0.0952  -0.0016   0.7560   0.1260   0.7078    12582
     interp_clim_a   0.1289   0.1000   0.0100   0.6482   0.1940   0.6823    12582
     interp_clim_b   0.1300   0.1006   0.0107   0.6492   0.1942   0.6765    12582
     interp_clim_c   0.1298   0.0989   0.0083   0.6600   0.1861   0.6762    12582
       whit_a_0p50   0.1483   0.1123   0.0124   0.7296   0.1538   0.6039    12582
       whit_a_0p20   0.1465   0.1109   0.0077   0.7498   0.1386   0.6156    12582
       whit_a_0p10   0.1466   0.1110   0.0057   0.7598   0.1313   0.6177    12582
       whit_a_0p05   0.1475   0.1117   0.0044   0.7663   0.1266   0.6162    12582
       whit_a_0p01   0.1495   0.1132   0.0031   0.7727   0.1220   0.6109    12582

Randomly drop a datapoint from the winter (Dec-Feb)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1426   0.1075   0.0178   0.6776   0.1720   0.6005    11022
        climo_mean   0.1453   0.1136   0.0036   0.5661   0.2111   0.5685    11022
      climo_median   0.1494   0.1083  -0.0017   0.5870   0.1959   0.5467    11022
             conor   0.1247   0.0955   0.0011   0.7475   0.1218   0.6873    11022
     interp_clim_a   0.1282   0.0989   0.0107   0.6218   0.1916   0.6696    11022
     interp_clim_b   0.1304   0.0998   0.0121   0.6228   0.1924   0.6570    11022
     interp_clim_c   0.1290   0.0974   0.0081   0.6323   0.1839   0.6623    11022
       whit_a_0p50   0.1442   0.1085   0.0042   0.6851   0.1549   0.5903    11022
       whit_a_0p20   0.1450   0.1088   0.0020   0.7061   0.1426   0.5922    11022
       whit_a_0p10   0.1467   0.1099   0.0016   0.7167   0.1371   0.5882    11022
       whit_a_0p05   0.1486   0.1113   0.0015   0.7236   0.1337   0.5825    11022
       whit_a_0p01   0.1517   0.1135   0.0017   0.7307   0.1304   0.5730    11022

Randomly drop a single datapoint that is next to an existing missing data point
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1920   0.1503   0.0285   0.5585   0.2798   0.4185     5431
        climo_mean   0.1629   0.1266  -0.0105   0.5345   0.2545   0.5392     5431
      climo_median   0.1692   0.1223  -0.0141   0.5498   0.2421   0.5077     5431
             conor   0.1491   0.1160  -0.0105   0.6217   0.2048   0.6143     5431
     interp_clim_a   0.1588   0.1245   0.0090   0.5465   0.2671   0.5622     5431
     interp_clim_b   0.1620   0.1266   0.0112   0.5423   0.2717   0.5446     5431
     interp_clim_c   0.1603   0.1238   0.0072   0.5542   0.2610   0.5530     5431
       whit_a_0p50   0.2030   0.1579   0.0048   0.6005   0.2322   0.3923     5431
       whit_a_0p20   0.2023   0.1570  -0.0021   0.6322   0.2072   0.4088     5431
       whit_a_0p10   0.2032   0.1575  -0.0047   0.6484   0.1954   0.4136     5431
       whit_a_0p05   0.2049   0.1586  -0.0061   0.6590   0.1880   0.4139     5431
       whit_a_0p01   0.2080   0.1609  -0.0072   0.6696   0.1808   0.4103     5431

Randomly drop a two month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1702   0.1317   0.0000   0.6501   0.2146   0.6034    12616
        climo_mean   0.1513   0.1164  -0.0024   0.6845   0.1910   0.6840    12616
      climo_median   0.1565   0.1118  -0.0014   0.7226   0.1687   0.6664    12616
             conor   0.1282   0.0986  -0.0036   0.7731   0.1356   0.7734    12616
     interp_clim_a   0.1403   0.1101  -0.0012   0.6673   0.2028   0.7345    12616
     interp_clim_b   0.1412   0.1108  -0.0007   0.6663   0.2040   0.7304    12616
     interp_clim_c   0.1402   0.1081  -0.0007   0.6863   0.1917   0.7312    12616
       whit_a_0p50   0.1778   0.1366  -0.0008   0.6825   0.1939   0.5813    12616
       whit_a_0p20   0.1749   0.1337  -0.0015   0.7199   0.1703   0.6010    12616
       whit_a_0p10   0.1746   0.1332  -0.0019   0.7398   0.1577   0.6077    12616
       whit_a_0p05   0.1753   0.1336  -0.0022   0.7529   0.1494   0.6097    12616
       whit_a_0p01   0.1771   0.1349  -0.0025   0.7661   0.1410   0.6081    12616

Randomly drop a two month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1741   0.1353  -0.0203   0.6437   0.2235   0.6206    12616
        climo_mean   0.1544   0.1170   0.0036   0.6921   0.2142   0.6971    12616
      climo_median   0.1600   0.1119   0.0092   0.7347   0.1907   0.6798    12616
             conor   0.1293   0.0985   0.0027   0.7831   0.1511   0.7873    12616
     interp_clim_a   0.1431   0.1127  -0.0084   0.6679   0.2189   0.7490    12616
     interp_clim_b   0.1433   0.1128  -0.0084   0.6677   0.2190   0.7485    12616
     interp_clim_c   0.1427   0.1099  -0.0056   0.6892   0.2071   0.7456    12616
       whit_a_0p50   0.1815   0.1404  -0.0078   0.6602   0.2247   0.5899    12616
       whit_a_0p20   0.1759   0.1350  -0.0046   0.7047   0.1974   0.6188    12616
       whit_a_0p10   0.1737   0.1326  -0.0036   0.7297   0.1813   0.6317    12616
       whit_a_0p05   0.1729   0.1316  -0.0032   0.7467   0.1701   0.6383    12616
       whit_a_0p01   0.1731   0.1315  -0.0030   0.7644   0.1582   0.6422    12616

Randomly drop a two month gap during the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1666   0.1276   0.0352   0.6678   0.2082   0.5313    12582
        climo_mean   0.1491   0.1157   0.0011   0.5706   0.2248   0.5778    12582
      climo_median   0.1532   0.1110  -0.0025   0.5950   0.2085   0.5568    12582
             conor   0.1302   0.1005  -0.0001   0.6863   0.1633   0.6783    12582
     interp_clim_a   0.1389   0.1080   0.0181   0.6192   0.2165   0.6408    12582
     interp_clim_b   0.1411   0.1092   0.0195   0.6187   0.2181   0.6296    12582
     interp_clim_c   0.1395   0.1067   0.0164   0.6314   0.2084   0.6357    12582
       whit_a_0p50   0.1739   0.1324   0.0186   0.6878   0.1813   0.5014    12582
       whit_a_0p20   0.1738   0.1318   0.0134   0.7131   0.1629   0.5104    12582
       whit_a_0p10   0.1752   0.1328   0.0114   0.7265   0.1539   0.5107    12582
       whit_a_0p05   0.1772   0.1343   0.0103   0.7353   0.1482   0.5077    12582
       whit_a_0p01   0.1807   0.1371   0.0093   0.7440   0.1427   0.5002    12582

Randomly drop a three month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1959   0.1513   0.0041   0.5845   0.2571   0.4934    12616
        climo_mean   0.1523   0.1166  -0.0001   0.6805   0.1945   0.6834    12616
      climo_median   0.1579   0.1122   0.0014   0.7172   0.1736   0.6642    12616
             conor   0.1366   0.1045  -0.0008   0.7439   0.1551   0.7454    12616
     interp_clim_a   0.1518   0.1194   0.0020   0.6325   0.2258   0.6904    12616
     interp_clim_b   0.1532   0.1202   0.0029   0.6303   0.2280   0.6840    12616
     interp_clim_c   0.1517   0.1175   0.0028   0.6508   0.2154   0.6879    12616
       whit_a_0p50   0.2057   0.1579   0.0028   0.6405   0.2218   0.4780    12616
       whit_a_0p20   0.2055   0.1570   0.0025   0.6766   0.1995   0.4926    12616
       whit_a_0p10   0.2066   0.1575   0.0025   0.6953   0.1880   0.4970    12616
       whit_a_0p05   0.2081   0.1586   0.0024   0.7073   0.1807   0.4976    12616
       whit_a_0p01   0.2109   0.1606   0.0024   0.7191   0.1735   0.4948    12616

Randomly drop a three month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2057   0.1601  -0.0279   0.5629   0.2687   0.4841    12616
        climo_mean   0.1518   0.1150   0.0023   0.6989   0.2067   0.7068    12616
      climo_median   0.1571   0.1098   0.0075   0.7418   0.1827   0.6905    12616
             conor   0.1350   0.1030   0.0022   0.7580   0.1664   0.7682    12616
     interp_clim_a   0.1551   0.1233  -0.0128   0.6309   0.2377   0.7034    12616
     interp_clim_b   0.1554   0.1235  -0.0127   0.6304   0.2380   0.7022    12616
     interp_clim_c   0.1539   0.1202  -0.0102   0.6523   0.2257   0.7035    12616
       whit_a_0p50   0.2159   0.1666  -0.0087   0.5976   0.2643   0.4536    12616
       whit_a_0p20   0.2134   0.1637  -0.0035   0.6381   0.2420   0.4759    12616
       whit_a_0p10   0.2126   0.1626  -0.0015   0.6609   0.2286   0.4870    12616
       whit_a_0p05   0.2126   0.1622  -0.0004   0.6764   0.2191   0.4929    12616
       whit_a_0p01   0.2136   0.1626   0.0004   0.6927   0.2089   0.4966    12616

Randomly drop a three month gap during the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1824   0.1403   0.0435   0.6295   0.2392   0.4679    12582
        climo_mean   0.1500   0.1164   0.0002   0.5764   0.2240   0.5789    12582
      climo_median   0.1541   0.1114  -0.0035   0.6050   0.2051   0.5592    12582
             conor   0.1344   0.1037  -0.0003   0.6641   0.1771   0.6618    12582
     interp_clim_a   0.1454   0.1131   0.0219   0.6029   0.2316   0.6129    12582
     interp_clim_b   0.1480   0.1147   0.0235   0.6007   0.2344   0.6003    12582
     interp_clim_c   0.1457   0.1117   0.0200   0.6172   0.2221   0.6098    12582
       whit_a_0p50   0.1934   0.1479   0.0211   0.6626   0.1992   0.4314    12582
       whit_a_0p20   0.1951   0.1489   0.0140   0.6883   0.1786   0.4363    12582
       whit_a_0p10   0.1978   0.1509   0.0110   0.7016   0.1686   0.4343    12582
       whit_a_0p05   0.2008   0.1532   0.0093   0.7099   0.1626   0.4296    12582
       whit_a_0p01   0.2055   0.1569   0.0079   0.7176   0.1570   0.4205    12582

Randomly drop a four month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2160   0.1672   0.0033   0.5188   0.2957   0.3949    12616
        climo_mean   0.1526   0.1169   0.0012   0.6787   0.1964   0.6783    12616
      climo_median   0.1576   0.1118   0.0019   0.7168   0.1740   0.6619    12616
             conor   0.1407   0.1077  -0.0005   0.7256   0.1663   0.7267    12616
     interp_clim_a   0.1605   0.1263   0.0022   0.5988   0.2460   0.6482    12616
     interp_clim_b   0.1621   0.1274   0.0032   0.5961   0.2486   0.6405    12616
     interp_clim_c   0.1599   0.1239   0.0026   0.6178   0.2348   0.6486    12616
       whit_a_0p50   0.2318   0.1775   0.0025   0.5834   0.2556   0.3746    12616
       whit_a_0p20   0.2346   0.1789   0.0015   0.6186   0.2333   0.3837    12616
       whit_a_0p10   0.2370   0.1804   0.0009   0.6370   0.2215   0.3866    12616
       whit_a_0p05   0.2394   0.1821   0.0005   0.6489   0.2138   0.3867    12616
       whit_a_0p01   0.2429   0.1848  -0.0000   0.6605   0.2063   0.3841    12616

Randomly drop a four month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2298   0.1766  -0.0382   0.5032   0.2938   0.3924    12616
        climo_mean   0.1521   0.1156   0.0025   0.7074   0.1980   0.7123    12616
      climo_median   0.1573   0.1104   0.0080   0.7476   0.1767   0.6965    12616
             conor   0.1393   0.1060   0.0021   0.7520   0.1679   0.7587    12616
     interp_clim_a   0.1650   0.1303  -0.0179   0.6053   0.2459   0.6718    12616
     interp_clim_b   0.1656   0.1307  -0.0176   0.6039   0.2471   0.6686    12616
     interp_clim_c   0.1637   0.1273  -0.0151   0.6254   0.2353   0.6727    12616
       whit_a_0p50   0.2449   0.1861  -0.0164   0.5511   0.2837   0.3592    12616
       whit_a_0p20   0.2481   0.1880  -0.0104   0.5847   0.2672   0.3660    12616
       whit_a_0p10   0.2503   0.1894  -0.0080   0.6026   0.2576   0.3688    12616
       whit_a_0p05   0.2524   0.1907  -0.0069   0.6144   0.2509   0.3697    12616
       whit_a_0p01   0.2552   0.1929  -0.0061   0.6261   0.2439   0.3689    12616

Randomly drop a four month gap during the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2030   0.1572   0.0507   0.5814   0.2777   0.4045    12582
        climo_mean   0.1517   0.1178   0.0001   0.5901   0.2223   0.5990    12582
      climo_median   0.1564   0.1129  -0.0027   0.6204   0.2031   0.5771    12582
             conor   0.1401   0.1084  -0.0010   0.6506   0.1884   0.6581    12582
     interp_clim_a   0.1555   0.1217   0.0254   0.5857   0.2500   0.5902    12582
     interp_clim_b   0.1581   0.1234   0.0271   0.5823   0.2536   0.5772    12582
     interp_clim_c   0.1557   0.1202   0.0240   0.6009   0.2404   0.5880    12582
       whit_a_0p50   0.2192   0.1681   0.0277   0.6278   0.2295   0.3652    12582
       whit_a_0p20   0.2219   0.1701   0.0187   0.6516   0.2076   0.3676    12582
       whit_a_0p10   0.2245   0.1721   0.0144   0.6633   0.1969   0.3663    12582
       whit_a_0p05   0.2272   0.1742   0.0116   0.6705   0.1903   0.3632    12582
       whit_a_0p01   0.2312   0.1776   0.0091   0.6771   0.1841   0.3570    12582

Randomly drop a six month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2452   0.1918   0.0032   0.4383   0.3455   0.2718    12616
        climo_mean   0.1512   0.1158   0.0002   0.6792   0.1957   0.6842    12616
      climo_median   0.1568   0.1114   0.0018   0.7162   0.1748   0.6647    12616
             conor   0.1437   0.1097  -0.0001   0.7111   0.1759   0.7149    12616
     interp_clim_a   0.1718   0.1366   0.0017   0.5587   0.2706   0.5948    12616
     interp_clim_b   0.1737   0.1381   0.0030   0.5553   0.2740   0.5848    12616
     interp_clim_c   0.1711   0.1344   0.0025   0.5773   0.2601   0.5965    12616
       whit_a_0p50   0.2709   0.2084   0.0057   0.5026   0.3088   0.2481    12616
       whit_a_0p20   0.2799   0.2151   0.0058   0.5318   0.2912   0.2470    12616
       whit_a_0p10   0.2854   0.2195   0.0054   0.5455   0.2823   0.2448    12616
       whit_a_0p05   0.2897   0.2230   0.0048   0.5537   0.2768   0.2422    12616
       whit_a_0p01   0.2950   0.2274   0.0040   0.5612   0.2714   0.2380    12616

Randomly drop a six month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2581   0.2008  -0.0395   0.4030   0.3429   0.2576    12616
        climo_mean   0.1501   0.1141   0.0005   0.7143   0.1835   0.7145    12616
      climo_median   0.1552   0.1095   0.0038   0.7513   0.1631   0.6989    12616
             conor   0.1420   0.1081   0.0004   0.7406   0.1665   0.7444    12616
     interp_clim_a   0.1752   0.1393  -0.0195   0.5586   0.2632   0.6222    12616
     interp_clim_b   0.1767   0.1403  -0.0185   0.5552   0.2664   0.6143    12616
     interp_clim_c   0.1739   0.1368  -0.0179   0.5771   0.2530   0.6245    12616
       whit_a_0p50   0.2833   0.2165  -0.0273   0.4542   0.3224   0.2252    12616
       whit_a_0p20   0.2929   0.2236  -0.0222   0.4785   0.3119   0.2206    12616
       whit_a_0p10   0.2990   0.2284  -0.0203   0.4901   0.3064   0.2168    12616
       whit_a_0p05   0.3037   0.2321  -0.0194   0.4971   0.3027   0.2133    12616
       whit_a_0p01   0.3095   0.2368  -0.0190   0.5037   0.2990   0.2085    12616

Randomly drop a six month gap during the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2278   0.1782   0.0447   0.5158   0.3257   0.3339    12582
        climo_mean   0.1530   0.1180   0.0003   0.6393   0.2096   0.6412    12582
      climo_median   0.1582   0.1133  -0.0010   0.6765   0.1868   0.6213    12582
             conor   0.1444   0.1112   0.0002   0.6767   0.1878   0.6805    12582
     interp_clim_a   0.1662   0.1311   0.0225   0.5776   0.2676   0.5842    12582
     interp_clim_b   0.1688   0.1328   0.0243   0.5737   0.2716   0.5723    12582
     interp_clim_c   0.1658   0.1292   0.0219   0.5961   0.2562   0.5861    12582
       whit_a_0p50   0.2532   0.1953   0.0321   0.5949   0.2672   0.3058    12582
       whit_a_0p20   0.2621   0.2017   0.0264   0.6241   0.2445   0.3017    12582
       whit_a_0p10   0.2676   0.2058   0.0234   0.6373   0.2339   0.2977    12582
       whit_a_0p05   0.2718   0.2090   0.0214   0.6449   0.2275   0.2938    12582
       whit_a_0p01   0.2770   0.2132   0.0192   0.6511   0.2216   0.2878    12582

