MGRS: 12T
NLCD: 31, 41, 42, 43, 52, 71, 81, 82, 90, 95

Randomly drop one datapoint in each year
            method     rmse      mae      mbe        m        b       r2        n
        climo_mean   0.1248   0.0946  -0.0001   0.7835   0.1175   0.7864     7035
      climo_median   0.1285   0.0909  -0.0044   0.8047   0.1017   0.7747     7035
     interp_clim_a   0.1231   0.0945   0.0038   0.7557   0.1365   0.7940     7035
     interp_clim_b   0.1261   0.0963   0.0049   0.7515   0.1399   0.7835     7035
     interp_clim_c   0.1235   0.0932   0.0016   0.7663   0.1286   0.7915     7035
       whit_a_0p50   0.1585   0.1200   0.0068   0.7690   0.1323   0.6704     7035
       whit_a_0p20   0.1597   0.1204   0.0061   0.7915   0.1193   0.6718     7035
       whit_a_0p10   0.1619   0.1219   0.0056   0.8021   0.1131   0.6676     7035
       whit_a_0p05   0.1644   0.1237   0.0053   0.8084   0.1094   0.6619     7035
       whit_a_0p01   0.1681   0.1265   0.0049   0.8141   0.1059   0.6525     7035

Randomly drop a two month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1404   0.1081  -0.0134   0.7752   0.1189   0.7519     7035
        climo_mean   0.1174   0.0877  -0.0007   0.8212   0.1045   0.8246     7035
      climo_median   0.1209   0.0850  -0.0030   0.8417   0.0901   0.8149     7035
     interp_clim_a   0.1117   0.0857  -0.0071   0.7982   0.1117   0.8442     7035
     interp_clim_b   0.1122   0.0860  -0.0072   0.7975   0.1119   0.8427     7035
     interp_clim_c   0.1122   0.0847  -0.0082   0.8084   0.1045   0.8420     7035
       whit_a_0p50   0.1453   0.1103  -0.0061   0.8131   0.1039   0.7391     7035
       whit_a_0p20   0.1462   0.1108  -0.0037   0.8365   0.0925   0.7405     7035
       whit_a_0p10   0.1477   0.1118  -0.0028   0.8475   0.0869   0.7386     7035
       whit_a_0p05   0.1493   0.1130  -0.0022   0.8543   0.0835   0.7354     7035
       whit_a_0p01   0.1519   0.1150  -0.0017   0.8605   0.0804   0.7297     7035

Randomly drop a two month gap during the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1783   0.1379   0.0409   0.6601   0.2021   0.5134     6910
        climo_mean   0.1366   0.1050   0.0005   0.6625   0.1606   0.6727     6910
      climo_median   0.1410   0.0999  -0.0059   0.6835   0.1442   0.6533     6910
     interp_clim_a   0.1391   0.1078   0.0207   0.6613   0.1813   0.6681     6910
     interp_clim_b   0.1452   0.1120   0.0238   0.6539   0.1879   0.6404     6910
     interp_clim_c   0.1394   0.1061   0.0175   0.6718   0.1731   0.6645     6910
       whit_a_0p50   0.1785   0.1361   0.0247   0.6795   0.1766   0.5090     6910
       whit_a_0p20   0.1812   0.1376   0.0171   0.6909   0.1637   0.5011     6910
       whit_a_0p10   0.1845   0.1401   0.0135   0.6968   0.1573   0.4916     6910
       whit_a_0p05   0.1878   0.1428   0.0112   0.7006   0.1531   0.4823     6910
       whit_a_0p01   0.1926   0.1468   0.0088   0.7045   0.1490   0.4690     6910

Randomly drop a three month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1750   0.1339   0.0087   0.6844   0.1815   0.5951     7035
        climo_mean   0.1247   0.0936   0.0001   0.7845   0.1181   0.7870     7035
      climo_median   0.1291   0.0903  -0.0039   0.8046   0.1031   0.7730     7035
     interp_clim_a   0.1300   0.0997   0.0044   0.7344   0.1498   0.7704     7035
     interp_clim_b   0.1342   0.1024   0.0061   0.7284   0.1547   0.7547     7035
     interp_clim_c   0.1303   0.0985   0.0024   0.7445   0.1423   0.7681     7035
       whit_a_0p50   0.1796   0.1359   0.0100   0.7374   0.1537   0.5940     7035
       whit_a_0p20   0.1823   0.1373   0.0094   0.7606   0.1405   0.5931     7035
       whit_a_0p10   0.1854   0.1394   0.0089   0.7714   0.1341   0.5877     7035
       whit_a_0p05   0.1884   0.1415   0.0086   0.7778   0.1303   0.5813     7035
       whit_a_0p01   0.1926   0.1446   0.0082   0.7835   0.1267   0.5714     7035

Randomly drop a three month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1619   0.1237  -0.0147   0.7048   0.1542   0.6750     7035
        climo_mean   0.1164   0.0875  -0.0010   0.8221   0.1008   0.8300     7035
      climo_median   0.1201   0.0850  -0.0037   0.8420   0.0867   0.8197     7035
     interp_clim_a   0.1199   0.0922  -0.0078   0.7635   0.1275   0.8248     7035
     interp_clim_b   0.1209   0.0927  -0.0079   0.7619   0.1284   0.8218     7035
     interp_clim_c   0.1200   0.0912  -0.0092   0.7734   0.1205   0.8233     7035
       whit_a_0p50   0.1670   0.1261  -0.0092   0.7641   0.1258   0.6655     7035
       whit_a_0p20   0.1692   0.1278  -0.0086   0.7882   0.1126   0.6646     7035
       whit_a_0p10   0.1720   0.1299  -0.0083   0.7989   0.1068   0.6592     7035
       whit_a_0p05   0.1748   0.1320  -0.0082   0.8050   0.1034   0.6529     7035
       whit_a_0p01   0.1787   0.1350  -0.0080   0.8103   0.1006   0.6432     7035

Randomly drop a three month gap during the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1870   0.1448   0.0410   0.6609   0.2116   0.5181     6910
        climo_mean   0.1356   0.1041   0.0007   0.7094   0.1469   0.7121     6910
      climo_median   0.1406   0.0995  -0.0045   0.7273   0.1327   0.6924     6910
     interp_clim_a   0.1419   0.1102   0.0208   0.6851   0.1792   0.6915     6910
     interp_clim_b   0.1495   0.1152   0.0246   0.6724   0.1894   0.6600     6910
     interp_clim_c   0.1426   0.1089   0.0182   0.6941   0.1721   0.6868     6910
       whit_a_0p50   0.1889   0.1451   0.0321   0.7018   0.1822   0.5205     6910
       whit_a_0p20   0.1920   0.1473   0.0276   0.7187   0.1691   0.5151     6910
       whit_a_0p10   0.1956   0.1500   0.0253   0.7259   0.1632   0.5064     6910
       whit_a_0p05   0.1991   0.1527   0.0237   0.7297   0.1597   0.4972     6910
       whit_a_0p01   0.2041   0.1566   0.0221   0.7327   0.1566   0.4837     6910

Randomly drop a four month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1933   0.1503   0.0038   0.6307   0.2064   0.5133     7035
        climo_mean   0.1246   0.0945  -0.0006   0.7848   0.1175   0.7865     7035
      climo_median   0.1286   0.0912  -0.0049   0.8061   0.1015   0.7742     7035
     interp_clim_a   0.1377   0.1072   0.0016   0.7078   0.1619   0.7409     7035
     interp_clim_b   0.1422   0.1101   0.0033   0.7008   0.1674   0.7226     7035
     interp_clim_c   0.1376   0.1059  -0.0006   0.7184   0.1539   0.7404     7035
       whit_a_0p50   0.2025   0.1544   0.0043   0.6886   0.1751   0.5039     7035
       whit_a_0p20   0.2057   0.1564   0.0041   0.7129   0.1616   0.5044     7035
       whit_a_0p10   0.2093   0.1592   0.0038   0.7237   0.1554   0.4990     7035
       whit_a_0p05   0.2128   0.1619   0.0036   0.7302   0.1516   0.4924     7035
       whit_a_0p01   0.2175   0.1656   0.0032   0.7360   0.1481   0.4826     7035

Randomly drop a four month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1888   0.1456  -0.0007   0.6383   0.2008   0.5520     7035
        climo_mean   0.1173   0.0874   0.0002   0.8212   0.0997   0.8219     7035
      climo_median   0.1212   0.0845  -0.0032   0.8403   0.0858   0.8108     7035
     interp_clim_a   0.1304   0.1003  -0.0003   0.7298   0.1502   0.7835     7035
     interp_clim_b   0.1325   0.1016   0.0002   0.7263   0.1527   0.7759     7035
     interp_clim_c   0.1302   0.0992  -0.0019   0.7393   0.1433   0.7829     7035
       whit_a_0p50   0.1990   0.1506   0.0019   0.7076   0.1648   0.5396     7035
       whit_a_0p20   0.2014   0.1522   0.0013   0.7351   0.1488   0.5429     7035
       whit_a_0p10   0.2048   0.1549   0.0008   0.7465   0.1420   0.5378     7035
       whit_a_0p05   0.2082   0.1575   0.0004   0.7525   0.1383   0.5309     7035
       whit_a_0p01   0.2131   0.1613   0.0001   0.7569   0.1355   0.5199     7035

Randomly drop a four month gap during the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1927   0.1488   0.0157   0.6466   0.2050   0.5085     6910
        climo_mean   0.1351   0.1035  -0.0027   0.7382   0.1375   0.7384     6910
      climo_median   0.1397   0.0992  -0.0079   0.7589   0.1213   0.7229     6910
     interp_clim_a   0.1445   0.1121   0.0065   0.6924   0.1713   0.7011     6910
     interp_clim_b   0.1520   0.1172   0.0096   0.6789   0.1816   0.6698     6910
     interp_clim_c   0.1451   0.1108   0.0039   0.7027   0.1632   0.6981     6910
       whit_a_0p50   0.1950   0.1490   0.0134   0.7031   0.1724   0.5209     6910
       whit_a_0p20   0.1990   0.1516   0.0113   0.7231   0.1597   0.5163     6910
       whit_a_0p10   0.2032   0.1547   0.0102   0.7317   0.1539   0.5078     6910
       whit_a_0p05   0.2071   0.1579   0.0093   0.7365   0.1504   0.4989     6910
       whit_a_0p01   0.2128   0.1623   0.0082   0.7403   0.1473   0.4853     6910

Randomly drop a six month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2163   0.1682   0.0055   0.5798   0.2357   0.4211     7035
        climo_mean   0.1235   0.0931  -0.0002   0.7849   0.1176   0.7918     7035
      climo_median   0.1278   0.0895  -0.0044   0.8063   0.1017   0.7783     7035
     interp_clim_a   0.1464   0.1138   0.0026   0.6823   0.1767   0.7082     7035
     interp_clim_b   0.1522   0.1176   0.0045   0.6725   0.1839   0.6841     7035
     interp_clim_c   0.1465   0.1128   0.0005   0.6930   0.1687   0.7073     7035
       whit_a_0p50   0.2411   0.1840   0.0041   0.6241   0.2101   0.3739     7035
       whit_a_0p20   0.2455   0.1867   0.0030   0.6451   0.1975   0.3738     7035
       whit_a_0p10   0.2500   0.1900   0.0021   0.6535   0.1919   0.3682     7035
       whit_a_0p05   0.2540   0.1933   0.0013   0.6576   0.1889   0.3614     7035
       whit_a_0p01   0.2596   0.1981   0.0002   0.6596   0.1867   0.3510     7035

Randomly drop a six month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2247   0.1748   0.0298   0.5589   0.2640   0.3967     7035
        climo_mean   0.1181   0.0889   0.0015   0.8084   0.1033   0.8119     7035
      climo_median   0.1224   0.0860  -0.0023   0.8291   0.0885   0.7990     7035
     interp_clim_a   0.1470   0.1148   0.0156   0.6837   0.1836   0.7126     7035
     interp_clim_b   0.1513   0.1174   0.0176   0.6774   0.1889   0.6957     7035
     interp_clim_c   0.1467   0.1135   0.0137   0.6940   0.1762   0.7125     7035
       whit_a_0p50   0.2623   0.1982   0.0235   0.5979   0.2370   0.3199     7035
       whit_a_0p20   0.2663   0.2002   0.0186   0.6232   0.2187   0.3240     7035
       whit_a_0p10   0.2704   0.2035   0.0165   0.6335   0.2111   0.3209     7035
       whit_a_0p05   0.2744   0.2066   0.0153   0.6384   0.2073   0.3160     7035
       whit_a_0p01   0.2799   0.2112   0.0142   0.6412   0.2047   0.3074     7035

Randomly drop a six month gap during the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2135   0.1649  -0.0266   0.6056   0.1979   0.4386     6910
        climo_mean   0.1277   0.0972  -0.0032   0.7726   0.1262   0.7728     6910
      climo_median   0.1315   0.0933  -0.0074   0.7971   0.1081   0.7614     6910
     interp_clim_a   0.1483   0.1144  -0.0149   0.6891   0.1621   0.6966     6910
     interp_clim_b   0.1556   0.1190  -0.0131   0.6774   0.1705   0.6653     6910
     interp_clim_c   0.1485   0.1136  -0.0170   0.7013   0.1530   0.6968     6910
       whit_a_0p50   0.2231   0.1709  -0.0227   0.6590   0.1714   0.4323     6910
       whit_a_0p20   0.2275   0.1737  -0.0198   0.6790   0.1629   0.4293     6910
       whit_a_0p10   0.2320   0.1770  -0.0191   0.6867   0.1593   0.4215     6910
       whit_a_0p05   0.2363   0.1801  -0.0189   0.6903   0.1573   0.4131     6910
       whit_a_0p01   0.2421   0.1844  -0.0192   0.6923   0.1560   0.4007     6910

