MGRS: 
NLCD: 95

Randomly drop one datapoint during the year
            method     rmse      mae      mbe        m        b       r2        n
      climo_median   0.1353   0.0913   0.0028   0.8612   0.1072   0.8309    12606
             conor   0.1067   0.0791   0.0006   0.8822   0.0892   0.8943    12606
     interp_clim_a   0.1185   0.0906  -0.0170   0.8185   0.1195   0.8759    12606
     interp_clim_b   0.1188   0.0908  -0.0171   0.8182   0.1197   0.8752    12606
     interp_clim_c   0.1186   0.0890  -0.0163   0.8308   0.1110   0.8739    12606
       whit_a_0p50   0.1506   0.1128  -0.0172   0.8480   0.0971   0.7954    12606
       whit_a_0p20   0.1503   0.1125  -0.0126   0.8691   0.0859   0.7977    12606
       whit_a_0p10   0.1518   0.1136  -0.0107   0.8792   0.0802   0.7956    12606
       whit_a_0p05   0.1537   0.1150  -0.0097   0.8854   0.0765   0.7922    12606
       whit_a_0p01   0.1569   0.1175  -0.0088   0.8910   0.0732   0.7859    12606

Randomly drop a three month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1766   0.1339   0.0498   0.7683   0.1883   0.6733    12568
        climo_mean   0.1509   0.1133  -0.0015   0.7220   0.1647   0.7303    12568
      climo_median   0.1558   0.1082  -0.0067   0.7432   0.1469   0.7143    12568
             conor   0.1314   0.0985  -0.0028   0.7823   0.1273   0.7960    12568
     interp_clim_a   0.1427   0.1087   0.0242   0.7451   0.1765   0.7665    12568
     interp_clim_b   0.1458   0.1107   0.0266   0.7424   0.1805   0.7568    12568
     interp_clim_c   0.1432   0.1072   0.0216   0.7557   0.1676   0.7626    12568
       whit_a_0p50   0.1744   0.1317   0.0287   0.7905   0.1539   0.6708    12568
       whit_a_0p20   0.1762   0.1323   0.0220   0.8024   0.1401   0.6660    12568
       whit_a_0p10   0.1790   0.1340   0.0190   0.8083   0.1336   0.6587    12568
       whit_a_0p05   0.1820   0.1361   0.0171   0.8119   0.1296   0.6510    12568
       whit_a_0p01   0.1864   0.1394   0.0153   0.8152   0.1258   0.6395    12568

Randomly drop a four month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1841   0.1411   0.0070   0.7231   0.1938   0.6737    12606
        climo_mean   0.1403   0.1029   0.0013   0.8062   0.1320   0.8083    12606
      climo_median   0.1454   0.0993  -0.0003   0.8304   0.1141   0.7956    12606
             conor   0.1230   0.0912   0.0004   0.8432   0.1062   0.8526    12606
     interp_clim_a   0.1383   0.1058   0.0042   0.7647   0.1629   0.8172    12606
     interp_clim_b   0.1404   0.1071   0.0055   0.7614   0.1664   0.8113    12606
     interp_clim_c   0.1385   0.1044   0.0033   0.7767   0.1539   0.8148    12606
       whit_a_0p50   0.1825   0.1374   0.0071   0.7840   0.1528   0.6890    12606
       whit_a_0p20   0.1840   0.1380   0.0065   0.8054   0.1378   0.6899    12606
       whit_a_0p10   0.1866   0.1400   0.0061   0.8146   0.1311   0.6853    12606
       whit_a_0p05   0.1896   0.1423   0.0057   0.8198   0.1273   0.6791    12606
       whit_a_0p01   0.1942   0.1458   0.0053   0.8240   0.1240   0.6688    12606

Randomly drop a four month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1762   0.1344  -0.0367   0.7413   0.1532   0.7255    12606
        climo_mean   0.1317   0.0962   0.0013   0.8363   0.1214   0.8395    12606
      climo_median   0.1365   0.0925   0.0018   0.8604   0.1043   0.8288    12606
             conor   0.1144   0.0845   0.0006   0.8691   0.0968   0.8791    12606
     interp_clim_a   0.1293   0.0995  -0.0177   0.7888   0.1373   0.8531    12606
     interp_clim_b   0.1301   0.1000  -0.0174   0.7875   0.1386   0.8508    12606
     interp_clim_c   0.1291   0.0980  -0.0175   0.8008   0.1287   0.8515    12606
       whit_a_0p50   0.1759   0.1313  -0.0163   0.8038   0.1277   0.7247    12606
       whit_a_0p20   0.1777   0.1324  -0.0123   0.8252   0.1161   0.7235    12606
       whit_a_0p10   0.1805   0.1346  -0.0109   0.8346   0.1104   0.7185    12606
       whit_a_0p05   0.1834   0.1370  -0.0103   0.8401   0.1070   0.7124    12606
       whit_a_0p01   0.1878   0.1406  -0.0100   0.8447   0.1040   0.7029    12606

Randomly drop a four month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1873   0.1426   0.0507   0.7542   0.2022   0.6498    12568
        climo_mean   0.1483   0.1109  -0.0001   0.7467   0.1560   0.7517    12568
      climo_median   0.1530   0.1063  -0.0040   0.7707   0.1374   0.7374    12568
             conor   0.1319   0.0990  -0.0015   0.7923   0.1265   0.8039    12568
     interp_clim_a   0.1446   0.1107   0.0253   0.7505   0.1791   0.7718    12568
     interp_clim_b   0.1479   0.1128   0.0278   0.7472   0.1837   0.7621    12568
     interp_clim_c   0.1449   0.1093   0.0234   0.7624   0.1698   0.7693    12568
       whit_a_0p50   0.1859   0.1401   0.0296   0.7867   0.1611   0.6491    12568
       whit_a_0p20   0.1886   0.1416   0.0229   0.7990   0.1468   0.6425    12568
       whit_a_0p10   0.1920   0.1439   0.0199   0.8051   0.1400   0.6343    12568
       whit_a_0p05   0.1955   0.1465   0.0181   0.8088   0.1359   0.6259    12568
       whit_a_0p01   0.2005   0.1504   0.0164   0.8123   0.1321   0.6135    12568

Randomly drop a six month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2182   0.1677   0.0011   0.6712   0.2244   0.5552    12606
        climo_mean   0.1385   0.1022   0.0013   0.8106   0.1299   0.8111    12606
      climo_median   0.1431   0.0981   0.0003   0.8342   0.1129   0.7999    12606
             conor   0.1268   0.0942   0.0005   0.8363   0.1117   0.8416    12606
     interp_clim_a   0.1507   0.1163   0.0012   0.7409   0.1772   0.7783    12606
     interp_clim_b   0.1535   0.1181   0.0029   0.7368   0.1816   0.7694    12606
     interp_clim_c   0.1504   0.1149   0.0007   0.7527   0.1686   0.7782    12606
       whit_a_0p50   0.2235   0.1683   0.0012   0.7350   0.1811   0.5617    12606
       whit_a_0p20   0.2270   0.1706   0.0008   0.7574   0.1656   0.5611    12606
       whit_a_0p10   0.2311   0.1736   0.0004   0.7676   0.1583   0.5553    12606
       whit_a_0p05   0.2348   0.1766  -0.0001   0.7735   0.1537   0.5489    12606
       whit_a_0p01   0.2401   0.1808  -0.0008   0.7784   0.1497   0.5387    12606

Randomly drop a six month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2245   0.1722  -0.0234   0.6416   0.2261   0.5456    12606
        climo_mean   0.1344   0.0986   0.0025   0.8256   0.1239   0.8292    12606
      climo_median   0.1398   0.0952   0.0012   0.8492   0.1062   0.8165    12606
             conor   0.1238   0.0911   0.0022   0.8472   0.1085   0.8553    12606
     interp_clim_a   0.1508   0.1165  -0.0105   0.7336   0.1750   0.7900    12606
     interp_clim_b   0.1529   0.1178  -0.0093   0.7304   0.1784   0.7832    12606
     interp_clim_c   0.1506   0.1150  -0.0111   0.7454   0.1661   0.7892    12606
       whit_a_0p50   0.2331   0.1743  -0.0157   0.7013   0.1923   0.5380    12606
       whit_a_0p20   0.2373   0.1764  -0.0125   0.7229   0.1804   0.5349    12606
       whit_a_0p10   0.2419   0.1796  -0.0110   0.7322   0.1755   0.5274    12606
       whit_a_0p05   0.2461   0.1829  -0.0101   0.7371   0.1729   0.5193    12606
       whit_a_0p01   0.2522   0.1878  -0.0093   0.7407   0.1712   0.5071    12606

Randomly drop a six month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2139   0.1641   0.0299   0.6894   0.2348   0.5704    12568
        climo_mean   0.1464   0.1079   0.0008   0.7807   0.1454   0.7828    12568
      climo_median   0.1514   0.1039  -0.0012   0.8048   0.1276   0.7694    12568
             conor   0.1344   0.0991  -0.0004   0.8079   0.1263   0.8169    12568
     interp_clim_a   0.1548   0.1183   0.0153   0.7350   0.1901   0.7604    12568
     interp_clim_b   0.1583   0.1205   0.0175   0.7303   0.1954   0.7498    12568
     interp_clim_c   0.1548   0.1170   0.0144   0.7471   0.1812   0.7594    12568
       whit_a_0p50   0.2137   0.1615   0.0221   0.7473   0.1888   0.5863    12568
       whit_a_0p20   0.2167   0.1632   0.0177   0.7636   0.1736   0.5832    12568
       whit_a_0p10   0.2206   0.1660   0.0150   0.7703   0.1665   0.5752    12568
       whit_a_0p05   0.2246   0.1689   0.0129   0.7737   0.1622   0.5664    12568
       whit_a_0p01   0.2303   0.1732   0.0104   0.7761   0.1581   0.5533    12568

