MGRS: 
NLCD: 71

Randomly drop one datapoint during the year
            method     rmse      mae      mbe        m        b       r2        n
     interp_clim_c   0.1245   0.0919   0.0075   0.7716   0.1081   0.7711    10761
       whit_a_0p50   0.1401   0.1035   0.0057   0.8009   0.0934   0.7188    10761
       whit_a_0p20   0.1408   0.1038   0.0022   0.8076   0.0869   0.7173    10761
       whit_a_0p10   0.1422   0.1048   0.0011   0.8124   0.0837   0.7138    10761
       whit_a_0p05   0.1438   0.1060   0.0008   0.8163   0.0817   0.7095    10761
       whit_a_0p01   0.1463   0.1080   0.0007   0.8207   0.0797   0.7024    10761

Randomly drop a two month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1414   0.1066   0.0040   0.8440   0.0907   0.8237    12617
        climo_mean   0.1380   0.1029   0.0046   0.8337   0.0970   0.8319    12617
      climo_median   0.1434   0.0983   0.0083   0.8672   0.0820   0.8214    12617
             conor   0.1089   0.0818   0.0018   0.8915   0.0621   0.8952    12617
     interp_clim_a   0.1195   0.0913   0.0043   0.8388   0.0938   0.8754    12617
     interp_clim_b   0.1209   0.0921   0.0048   0.8386   0.0944   0.8723    12617
     interp_clim_c   0.1204   0.0898   0.0061   0.8556   0.0863   0.8726    12617
       whit_a_0p50   0.1418   0.1065   0.0034   0.8692   0.0760   0.8247    12617
       whit_a_0p20   0.1417   0.1060   0.0031   0.8842   0.0674   0.8265    12617
       whit_a_0p10   0.1430   0.1067   0.0030   0.8914   0.0634   0.8247    12617
       whit_a_0p05   0.1446   0.1079   0.0030   0.8958   0.0609   0.8219    12617
       whit_a_0p01   0.1473   0.1099   0.0029   0.9000   0.0585   0.8167    12617

Randomly drop a two month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1238   0.0943  -0.0206   0.8636   0.0641   0.8914    12617
        climo_mean   0.1356   0.1002   0.0046   0.8657   0.0880   0.8650    12617
      climo_median   0.1408   0.0955   0.0125   0.9019   0.0735   0.8577    12617
             conor   0.0983   0.0743   0.0019   0.9203   0.0514   0.9290    12617
     interp_clim_a   0.1096   0.0845  -0.0080   0.8647   0.0760   0.9149    12617
     interp_clim_b   0.1097   0.0845  -0.0081   0.8647   0.0759   0.9148    12617
     interp_clim_c   0.1098   0.0822  -0.0040   0.8827   0.0688   0.9125    12617
       whit_a_0p50   0.1238   0.0936  -0.0104   0.8960   0.0541   0.8883    12617
       whit_a_0p20   0.1229   0.0926  -0.0077   0.9113   0.0474   0.8898    12617
       whit_a_0p10   0.1238   0.0932  -0.0065   0.9181   0.0444   0.8886    12617
       whit_a_0p05   0.1251   0.0942  -0.0058   0.9220   0.0427   0.8865    12617
       whit_a_0p01   0.1276   0.0961  -0.0049   0.9254   0.0414   0.8826    12617

Randomly drop a two month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1583   0.1186   0.0323   0.8313   0.1133   0.7146    12542
        climo_mean   0.1433   0.1088   0.0002   0.7359   0.1269   0.7397    12542
      climo_median   0.1482   0.1044  -0.0016   0.7648   0.1111   0.7239    12542
             conor   0.1217   0.0923  -0.0020   0.8083   0.0899   0.8123    12542
     interp_clim_a   0.1317   0.1007   0.0163   0.7836   0.1201   0.7835    12542
     interp_clim_b   0.1345   0.1023   0.0175   0.7835   0.1214   0.7747    12542
     interp_clim_c   0.1330   0.0997   0.0153   0.7980   0.1122   0.7794    12542
       whit_a_0p50   0.1592   0.1190   0.0186   0.8255   0.1023   0.7043    12542
       whit_a_0p20   0.1607   0.1201   0.0136   0.8308   0.0948   0.6997    12542
       whit_a_0p10   0.1629   0.1217   0.0112   0.8342   0.0908   0.6936    12542
       whit_a_0p05   0.1653   0.1235   0.0097   0.8365   0.0882   0.6873    12542
       whit_a_0p01   0.1689   0.1264   0.0082   0.8388   0.0855   0.6777    12542

Randomly drop a three month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1607   0.1219   0.0052   0.8079   0.1114   0.7728    12617
        climo_mean   0.1397   0.1042   0.0026   0.8266   0.0984   0.8271    12617
      climo_median   0.1451   0.0998   0.0060   0.8618   0.0824   0.8161    12617
             conor   0.1175   0.0883   0.0005   0.8688   0.0729   0.8776    12617
     interp_clim_a   0.1283   0.0986   0.0039   0.8172   0.1049   0.8560    12617
     interp_clim_b   0.1299   0.0996   0.0047   0.8167   0.1059   0.8521    12617
     interp_clim_c   0.1288   0.0969   0.0056   0.8348   0.0969   0.8535    12617
       whit_a_0p50   0.1606   0.1205   0.0047   0.8476   0.0889   0.7777    12617
       whit_a_0p20   0.1623   0.1213   0.0042   0.8626   0.0801   0.7762    12617
       whit_a_0p10   0.1648   0.1231   0.0040   0.8693   0.0762   0.7717    12617
       whit_a_0p05   0.1673   0.1251   0.0039   0.8731   0.0740   0.7666    12617
       whit_a_0p01   0.1712   0.1282   0.0037   0.8763   0.0721   0.7585    12617

Randomly drop a three month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1464   0.1123  -0.0289   0.8160   0.0837   0.8509    12617
        climo_mean   0.1358   0.0997   0.0053   0.8627   0.0894   0.8656    12617
      climo_median   0.1415   0.0953   0.0124   0.8977   0.0750   0.8569    12617
             conor   0.1083   0.0809   0.0029   0.9015   0.0632   0.9147    12617
     interp_clim_a   0.1184   0.0916  -0.0118   0.8393   0.0866   0.9033    12617
     interp_clim_b   0.1187   0.0918  -0.0119   0.8391   0.0866   0.9026    12617
     interp_clim_c   0.1181   0.0893  -0.0083   0.8569   0.0794   0.9007    12617
       whit_a_0p50   0.1455   0.1101  -0.0148   0.8681   0.0659   0.8475    12617
       whit_a_0p20   0.1459   0.1099  -0.0116   0.8858   0.0583   0.8473    12617
       whit_a_0p10   0.1477   0.1110  -0.0103   0.8935   0.0549   0.8443    12617
       whit_a_0p05   0.1499   0.1125  -0.0095   0.8979   0.0530   0.8405    12617
       whit_a_0p01   0.1533   0.1152  -0.0088   0.9016   0.0514   0.8344    12617

Randomly drop a three month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1703   0.1284   0.0395   0.8284   0.1238   0.6895    12542
        climo_mean   0.1426   0.1087   0.0013   0.7443   0.1269   0.7491    12542
      climo_median   0.1477   0.1046   0.0009   0.7722   0.1128   0.7329    12542
             conor   0.1244   0.0945  -0.0008   0.7975   0.0987   0.8092    12542
     interp_clim_a   0.1355   0.1037   0.0204   0.7863   0.1254   0.7787    12542
     interp_clim_b   0.1389   0.1057   0.0221   0.7856   0.1274   0.7685    12542
     interp_clim_c   0.1368   0.1030   0.0202   0.8003   0.1183   0.7749    12542
       whit_a_0p50   0.1702   0.1279   0.0231   0.8239   0.1095   0.6797    12542
       whit_a_0p20   0.1725   0.1292   0.0187   0.8282   0.1031   0.6732    12542
       whit_a_0p10   0.1753   0.1311   0.0170   0.8309   0.1000   0.6655    12542
       whit_a_0p05   0.1782   0.1332   0.0160   0.8327   0.0982   0.6577    12542
       whit_a_0p01   0.1825   0.1365   0.0151   0.8341   0.0966   0.6464    12542

Randomly drop a four month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1782   0.1352   0.0042   0.7797   0.1263   0.7220    12617
        climo_mean   0.1400   0.1040   0.0043   0.8326   0.0971   0.8257    12617
      climo_median   0.1464   0.1001   0.0077   0.8660   0.0820   0.8131    12617
             conor   0.1234   0.0915   0.0018   0.8627   0.0779   0.8644    12617
     interp_clim_a   0.1349   0.1032   0.0042   0.8062   0.1117   0.8394    12617
     interp_clim_b   0.1368   0.1044   0.0051   0.8053   0.1130   0.8345    12617
     interp_clim_c   0.1357   0.1019   0.0059   0.8228   0.1041   0.8366    12617
       whit_a_0p50   0.1783   0.1337   0.0047   0.8291   0.0995   0.7304    12617
       whit_a_0p20   0.1805   0.1349   0.0045   0.8459   0.0899   0.7289    12617
       whit_a_0p10   0.1835   0.1370   0.0044   0.8534   0.0856   0.7235    12617
       whit_a_0p05   0.1867   0.1393   0.0043   0.8577   0.0831   0.7172    12617
       whit_a_0p01   0.1914   0.1429   0.0042   0.8613   0.0811   0.7073    12617

Randomly drop a four month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1706   0.1316  -0.0290   0.7601   0.1146   0.7915    12617
        climo_mean   0.1351   0.0996   0.0047   0.8626   0.0870   0.8646    12617
      climo_median   0.1403   0.0951   0.0114   0.8971   0.0730   0.8567    12617
             conor   0.1160   0.0865   0.0033   0.8892   0.0696   0.9003    12617
     interp_clim_a   0.1282   0.1001  -0.0122   0.8114   0.1008   0.8851    12617
     interp_clim_b   0.1290   0.1006  -0.0120   0.8108   0.1013   0.8834    12617
     interp_clim_c   0.1277   0.0977  -0.0088   0.8286   0.0938   0.8828    12617
       whit_a_0p50   0.1706   0.1291  -0.0134   0.8266   0.0905   0.7873    12617
       whit_a_0p20   0.1734   0.1305  -0.0088   0.8468   0.0830   0.7826    12617
       whit_a_0p10   0.1768   0.1328  -0.0067   0.8550   0.0802   0.7763    12617
       whit_a_0p05   0.1801   0.1351  -0.0054   0.8593   0.0789   0.7698    12617
       whit_a_0p01   0.1848   0.1386  -0.0042   0.8622   0.0783   0.7603    12617

Randomly drop a four month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1830   0.1389   0.0390   0.8235   0.1287   0.6666    12542
        climo_mean   0.1424   0.1073   0.0022   0.7650   0.1218   0.7650    12542
      climo_median   0.1479   0.1031   0.0024   0.7965   0.1060   0.7496    12542
             conor   0.1257   0.0949   0.0007   0.8074   0.0986   0.8170    12542
     interp_clim_a   0.1399   0.1068   0.0206   0.7942   0.1252   0.7786    12542
     interp_clim_b   0.1433   0.1088   0.0222   0.7928   0.1276   0.7686    12542
     interp_clim_c   0.1411   0.1060   0.0207   0.8100   0.1173   0.7759    12542
       whit_a_0p50   0.1812   0.1367   0.0232   0.8294   0.1099   0.6659    12542
       whit_a_0p20   0.1836   0.1382   0.0181   0.8342   0.1024   0.6594    12542
       whit_a_0p10   0.1868   0.1405   0.0157   0.8370   0.0987   0.6513    12542
       whit_a_0p05   0.1901   0.1430   0.0143   0.8387   0.0964   0.6431    12542
       whit_a_0p01   0.1949   0.1468   0.0130   0.8402   0.0942   0.6311    12542

Randomly drop a six month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2106   0.1606  -0.0005   0.7237   0.1536   0.6211    12617
        climo_mean   0.1375   0.1031   0.0024   0.8303   0.0970   0.8312    12617
      climo_median   0.1433   0.0993   0.0060   0.8633   0.0822   0.8195    12617
             conor   0.1257   0.0943   0.0015   0.8528   0.0835   0.8591    12617
     interp_clim_a   0.1471   0.1135   0.0010   0.7770   0.1253   0.8080    12617
     interp_clim_b   0.1495   0.1150   0.0018   0.7758   0.1268   0.8014    12617
     interp_clim_c   0.1473   0.1122   0.0028   0.7935   0.1179   0.8067    12617
       whit_a_0p50   0.2159   0.1618  -0.0003   0.7737   0.1259   0.6213    12617
       whit_a_0p20   0.2203   0.1645  -0.0003   0.7901   0.1168   0.6160    12617
       whit_a_0p10   0.2248   0.1679  -0.0004   0.7969   0.1128   0.6078    12617
       whit_a_0p05   0.2289   0.1711  -0.0006   0.8004   0.1107   0.5996    12617
       whit_a_0p01   0.2345   0.1756  -0.0008   0.8023   0.1094   0.5876    12617

Randomly drop a six month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2123   0.1625  -0.0213   0.6751   0.1637   0.6464    12617
        climo_mean   0.1367   0.1013   0.0044   0.8521   0.0886   0.8515    12617
      climo_median   0.1424   0.0971   0.0084   0.8859   0.0733   0.8416    12617
             conor   0.1248   0.0928   0.0031   0.8707   0.0767   0.8763    12617
     interp_clim_a   0.1456   0.1134  -0.0084   0.7636   0.1262   0.8388    12617
     interp_clim_b   0.1472   0.1144  -0.0078   0.7624   0.1275   0.8343    12617
     interp_clim_c   0.1446   0.1111  -0.0064   0.7805   0.1185   0.8381    12617
       whit_a_0p50   0.2209   0.1647  -0.0162   0.7413   0.1311   0.6326    12617
       whit_a_0p20   0.2253   0.1676  -0.0125   0.7651   0.1213   0.6278    12617
       whit_a_0p10   0.2300   0.1710  -0.0103   0.7751   0.1178   0.6193    12617
       whit_a_0p05   0.2345   0.1743  -0.0087   0.7802   0.1165   0.6106    12617
       whit_a_0p01   0.2406   0.1789  -0.0070   0.7838   0.1162   0.5979    12617

Randomly drop a six month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2061   0.1572   0.0229   0.7966   0.1324   0.6227    12542
        climo_mean   0.1417   0.1060   0.0033   0.8035   0.1091   0.7962    12542
      climo_median   0.1479   0.1020   0.0058   0.8356   0.0943   0.7819    12542
             conor   0.1292   0.0967   0.0012   0.8287   0.0935   0.8304    12542
     interp_clim_a   0.1476   0.1128   0.0131   0.8001   0.1208   0.7810    12542
     interp_clim_b   0.1510   0.1150   0.0144   0.7986   0.1229   0.7716    12542
     interp_clim_c   0.1489   0.1122   0.0143   0.8161   0.1134   0.7786    12542
       whit_a_0p50   0.2060   0.1562   0.0159   0.8286   0.1082   0.6324    12542
       whit_a_0p20   0.2095   0.1584   0.0125   0.8353   0.1012   0.6259    12542
       whit_a_0p10   0.2136   0.1614   0.0105   0.8376   0.0980   0.6168    12542
       whit_a_0p05   0.2176   0.1644   0.0091   0.8385   0.0960   0.6077    12542
       whit_a_0p01   0.2232   0.1686   0.0074   0.8386   0.0943   0.5947    12542

