MGRS: 
NLCD: 

Randomly drop one datapoint during the year
            method     rmse      mae      mbe        m        b       r2        n
       whit_a_0p01   0.1519   0.1121   0.0022   0.7836   0.1061   0.6500   115357

Randomly drop a two month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1430   0.1074   0.0041   0.8152   0.1188   0.7968   136547
        climo_mean   0.1242   0.0919   0.0012   0.8466   0.0964   0.8464   136547
      climo_median   0.1285   0.0887   0.0003   0.8676   0.0825   0.8366   136547
             conor   0.1074   0.0803   0.0002   0.8891   0.0691   0.8850   136547
     interp_clim_a   0.1166   0.0882   0.0027   0.8309   0.1076   0.8660   136547
     interp_clim_b   0.1182   0.0890   0.0033   0.8297   0.1090   0.8622   136547
     interp_clim_c   0.1173   0.0871   0.0022   0.8414   0.1006   0.8636   136547
       whit_a_0p50   0.1437   0.1071   0.0034   0.8456   0.0992   0.7973   136547
       whit_a_0p20   0.1439   0.1068   0.0029   0.8635   0.0876   0.7991   136547
       whit_a_0p10   0.1454   0.1078   0.0026   0.8721   0.0820   0.7967   136547
       whit_a_0p05   0.1472   0.1092   0.0024   0.8775   0.0784   0.7931   136547
       whit_a_0p01   0.1502   0.1115   0.0021   0.8826   0.0750   0.7868   136547

Randomly drop a two month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1275   0.0966  -0.0248   0.8461   0.0829   0.8622   136544
        climo_mean   0.1158   0.0844   0.0020   0.8806   0.0856   0.8816   136544
      climo_median   0.1199   0.0814   0.0043   0.9011   0.0735   0.8740   136544
             conor   0.0949   0.0712   0.0007   0.9193   0.0572   0.9205   136544
     interp_clim_a   0.1046   0.0794  -0.0114   0.8634   0.0842   0.9067   136544
     interp_clim_b   0.1048   0.0795  -0.0115   0.8631   0.0843   0.9063   136544
     interp_clim_c   0.1049   0.0781  -0.0102   0.8736   0.0782   0.9049   136544
       whit_a_0p50   0.1284   0.0962  -0.0125   0.8768   0.0737   0.8564   136544
       whit_a_0p20   0.1272   0.0951  -0.0089   0.8946   0.0648   0.8594   136544
       whit_a_0p10   0.1278   0.0956  -0.0075   0.9030   0.0604   0.8586   136544
       whit_a_0p05   0.1290   0.0965  -0.0067   0.9082   0.0576   0.8566   136544
       whit_a_0p01   0.1313   0.0984  -0.0059   0.9131   0.0549   0.8525   136544

Randomly drop a two month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1613   0.1216   0.0393   0.7941   0.1479   0.6736   135764
        climo_mean   0.1341   0.1013  -0.0005   0.7412   0.1361   0.7447   135764
      climo_median   0.1385   0.0975  -0.0052   0.7594   0.1217   0.7290   135764
             conor   0.1213   0.0916  -0.0017   0.7981   0.1049   0.7911   135764
     interp_clim_a   0.1305   0.0994   0.0194   0.7677   0.1420   0.7635   135764
     interp_clim_b   0.1334   0.1011   0.0211   0.7665   0.1444   0.7536   135764
     interp_clim_c   0.1313   0.0983   0.0170   0.7768   0.1348   0.7596   135764
       whit_a_0p50   0.1612   0.1211   0.0222   0.7932   0.1314   0.6633   135764
       whit_a_0p20   0.1625   0.1217   0.0162   0.8021   0.1207   0.6595   135764
       whit_a_0p10   0.1648   0.1233   0.0136   0.8074   0.1153   0.6533   135764
       whit_a_0p05   0.1672   0.1251   0.0120   0.8109   0.1118   0.6464   135764
       whit_a_0p01   0.1711   0.1280   0.0104   0.8144   0.1083   0.6359   135764

Randomly drop a three month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1631   0.1235   0.0045   0.7731   0.1450   0.7362   136547
        climo_mean   0.1244   0.0919   0.0011   0.8441   0.0976   0.8454   136547
      climo_median   0.1285   0.0885  -0.0001   0.8655   0.0832   0.8359   136547
             conor   0.1118   0.0834  -0.0000   0.8739   0.0781   0.8751   136547
     interp_clim_a   0.1246   0.0947   0.0028   0.8086   0.1213   0.8465   136547
     interp_clim_b   0.1267   0.0959   0.0036   0.8068   0.1233   0.8410   136547
     interp_clim_c   0.1250   0.0936   0.0022   0.8193   0.1141   0.8447   136547
       whit_a_0p50   0.1635   0.1224   0.0040   0.8178   0.1168   0.7409   136547
       whit_a_0p20   0.1649   0.1231   0.0032   0.8364   0.1045   0.7407   136547
       whit_a_0p10   0.1672   0.1248   0.0028   0.8450   0.0987   0.7364   136547
       whit_a_0p05   0.1698   0.1267   0.0024   0.8503   0.0951   0.7312   136547
       whit_a_0p01   0.1737   0.1298   0.0020   0.8552   0.0917   0.7227   136547

Randomly drop a three month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1514   0.1148  -0.0328   0.7965   0.1073   0.8071   136544
        climo_mean   0.1159   0.0847   0.0022   0.8805   0.0845   0.8814   136544
      climo_median   0.1198   0.0816   0.0040   0.9013   0.0721   0.8742   136544
             conor   0.1011   0.0752   0.0013   0.9070   0.0653   0.9097   136544
     interp_clim_a   0.1139   0.0869  -0.0153   0.8385   0.0959   0.8906   136544
     interp_clim_b   0.1143   0.0871  -0.0154   0.8380   0.0962   0.8896   136544
     interp_clim_c   0.1138   0.0855  -0.0144   0.8489   0.0897   0.8893   136544
       whit_a_0p50   0.1526   0.1138  -0.0152   0.8464   0.0906   0.7991   136544
       whit_a_0p20   0.1532   0.1139  -0.0112   0.8660   0.0812   0.7993   136544
       whit_a_0p10   0.1550   0.1153  -0.0097   0.8747   0.0766   0.7964   136544
       whit_a_0p05   0.1571   0.1169  -0.0089   0.8799   0.0739   0.7924   136544
       whit_a_0p01   0.1604   0.1195  -0.0082   0.8845   0.0714   0.7858   136544

Randomly drop a three month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1748   0.1327   0.0479   0.7858   0.1639   0.6487   135764
        climo_mean   0.1335   0.1007   0.0001   0.7586   0.1308   0.7603   135764
      climo_median   0.1377   0.0968  -0.0042   0.7780   0.1160   0.7463   135764
             conor   0.1227   0.0927  -0.0007   0.7992   0.1081   0.7973   135764
     interp_clim_a   0.1354   0.1035   0.0240   0.7722   0.1474   0.7610   135764
     interp_clim_b   0.1391   0.1057   0.0260   0.7697   0.1508   0.7493   135764
     interp_clim_c   0.1360   0.1025   0.0218   0.7819   0.1399   0.7582   135764
       whit_a_0p50   0.1741   0.1313   0.0275   0.7915   0.1404   0.6387   135764
       whit_a_0p20   0.1765   0.1327   0.0214   0.8002   0.1296   0.6317   135764
       whit_a_0p10   0.1796   0.1350   0.0187   0.8052   0.1243   0.6234   135764
       whit_a_0p05   0.1828   0.1375   0.0172   0.8085   0.1209   0.6151   135764
       whit_a_0p01   0.1874   0.1411   0.0157   0.8117   0.1177   0.6030   135764

Randomly drop a four month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1806   0.1377   0.0055   0.7387   0.1672   0.6785   136547
        climo_mean   0.1236   0.0917   0.0013   0.8459   0.0967   0.8468   136547
      climo_median   0.1277   0.0883   0.0002   0.8673   0.0823   0.8375   136547
             conor   0.1137   0.0850   0.0006   0.8688   0.0818   0.8704   136547
     interp_clim_a   0.1310   0.1004   0.0034   0.7923   0.1319   0.8297   136547
     interp_clim_b   0.1335   0.1018   0.0045   0.7899   0.1345   0.8228   136547
     interp_clim_c   0.1310   0.0992   0.0028   0.8030   0.1247   0.8287   136547
       whit_a_0p50   0.1816   0.1363   0.0055   0.7942   0.1329   0.6865   136547
       whit_a_0p20   0.1843   0.1380   0.0049   0.8131   0.1206   0.6838   136547
       whit_a_0p10   0.1877   0.1405   0.0045   0.8214   0.1150   0.6775   136547
       whit_a_0p05   0.1910   0.1431   0.0042   0.8262   0.1117   0.6705   136547
       whit_a_0p01   0.1958   0.1469   0.0038   0.8303   0.1088   0.6597   136547

Randomly drop a four month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1755   0.1336  -0.0366   0.7427   0.1370   0.7382   136544
        climo_mean   0.1168   0.0855   0.0021   0.8778   0.0845   0.8787   136544
      climo_median   0.1209   0.0825   0.0033   0.8984   0.0719   0.8711   136544
             conor   0.1059   0.0785   0.0012   0.8980   0.0700   0.9003   136544
     interp_clim_a   0.1241   0.0952  -0.0173   0.8102   0.1108   0.8699   136544
     interp_clim_b   0.1251   0.0958  -0.0171   0.8091   0.1118   0.8675   136544
     interp_clim_c   0.1238   0.0938  -0.0167   0.8205   0.1044   0.8691   136544
       whit_a_0p50   0.1777   0.1322  -0.0172   0.8082   0.1122   0.7304   136544
       whit_a_0p20   0.1802   0.1336  -0.0125   0.8301   0.1022   0.7274   136544
       whit_a_0p10   0.1833   0.1360  -0.0107   0.8396   0.0976   0.7217   136544
       whit_a_0p05   0.1864   0.1385  -0.0098   0.8448   0.0950   0.7155   136544
       whit_a_0p01   0.1910   0.1422  -0.0091   0.8490   0.0928   0.7058   136544

Randomly drop a four month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1846   0.1407   0.0484   0.7767   0.1735   0.6345   135764
        climo_mean   0.1316   0.0989  -0.0001   0.7805   0.1228   0.7833   135764
      climo_median   0.1358   0.0951  -0.0036   0.8012   0.1077   0.7703   135764
             conor   0.1224   0.0923  -0.0007   0.8106   0.1053   0.8125   135764
     interp_clim_a   0.1380   0.1057   0.0242   0.7786   0.1481   0.7688   135764
     interp_clim_b   0.1418   0.1080   0.0263   0.7756   0.1519   0.7572   135764
     interp_clim_c   0.1385   0.1047   0.0224   0.7890   0.1406   0.7667   135764
       whit_a_0p50   0.1842   0.1392   0.0281   0.7945   0.1431   0.6287   135764
       whit_a_0p20   0.1871   0.1411   0.0216   0.8035   0.1317   0.6210   135764
       whit_a_0p10   0.1906   0.1437   0.0187   0.8082   0.1261   0.6123   135764
       whit_a_0p05   0.1941   0.1464   0.0170   0.8113   0.1227   0.6036   135764
       whit_a_0p01   0.1991   0.1504   0.0154   0.8140   0.1196   0.5908   135764

