MGRS: 10S
NLCD: 

Randomly drop one datapoint during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1293   0.0989  -0.0044   0.8176   0.1084   0.8194     2104
        climo_mean   0.1239   0.0913   0.0056   0.8352   0.1075   0.8343     2104
      climo_median   0.1282   0.0870   0.0054   0.8582   0.0931   0.8238     2104
             conor   0.1005   0.0747   0.0004   0.8859   0.0710   0.8908     2104
     interp_clim_a   0.1096   0.0829   0.0006   0.8264   0.1080   0.8725     2104
     interp_clim_b   0.1096   0.0830   0.0005   0.8265   0.1079   0.8724     2104
     interp_clim_c   0.1100   0.0815   0.0005   0.8379   0.1008   0.8703     2104
       whit_a_0p50   0.1286   0.0986  -0.0046   0.8479   0.0895   0.8220     2104
       whit_a_0p20   0.1295   0.0987  -0.0047   0.8661   0.0782   0.8214     2104
       whit_a_0p10   0.1315   0.0998  -0.0047   0.8746   0.0729   0.8173     2104
       whit_a_0p05   0.1338   0.1015  -0.0046   0.8798   0.0697   0.8122     2104
       whit_a_0p01   0.1375   0.1043  -0.0045   0.8847   0.0669   0.8039     2104

Randomly drop a two month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1146   0.0856  -0.0016   0.8438   0.0952   0.8798     2103
        climo_mean   0.1202   0.0859   0.0035   0.8750   0.0809   0.8664     2103
      climo_median   0.1242   0.0829   0.0055   0.8982   0.0686   0.8591     2103
             conor   0.0898   0.0658   0.0019   0.9226   0.0499   0.9253     2103
     interp_clim_a   0.0997   0.0746   0.0009   0.8594   0.0881   0.9108     2103
     interp_clim_b   0.0998   0.0746   0.0008   0.8590   0.0882   0.9108     2103
     interp_clim_c   0.0995   0.0728   0.0019   0.8710   0.0819   0.9101     2103
       whit_a_0p50   0.1159   0.0868  -0.0014   0.8815   0.0720   0.8755     2103
       whit_a_0p20   0.1148   0.0859  -0.0004   0.8995   0.0619   0.8784     2103
       whit_a_0p10   0.1152   0.0860   0.0002   0.9077   0.0574   0.8780     2103
       whit_a_0p05   0.1162   0.0867   0.0006   0.9125   0.0548   0.8765     2103
       whit_a_0p01   0.1182   0.0882   0.0010   0.9171   0.0524   0.8728     2103

Randomly drop a two month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1426   0.1102   0.0057   0.7725   0.1448   0.7335     2103
        climo_mean   0.1239   0.0957   0.0075   0.7777   0.1434   0.7983     2103
      climo_median   0.1271   0.0913   0.0037   0.8000   0.1259   0.7867     2103
             conor   0.1128   0.0863   0.0056   0.8315   0.1086   0.8321     2103
     interp_clim_a   0.1190   0.0921   0.0066   0.7751   0.1441   0.8151     2103
     interp_clim_b   0.1192   0.0922   0.0066   0.7752   0.1440   0.8144     2103
     interp_clim_c   0.1187   0.0904   0.0047   0.7863   0.1354   0.8148     2103
       whit_a_0p50   0.1414   0.1087   0.0059   0.7911   0.1336   0.7396     2103
       whit_a_0p20   0.1441   0.1105   0.0062   0.8092   0.1228   0.7336     2103
       whit_a_0p10   0.1474   0.1131   0.0063   0.8183   0.1174   0.7252     2103
       whit_a_0p05   0.1506   0.1156   0.0063   0.8239   0.1140   0.7166     2103
       whit_a_0p01   0.1553   0.1193   0.0062   0.8290   0.1108   0.7038     2103

Randomly drop a three month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1496   0.1131   0.0021   0.7645   0.1457   0.7531     2104
        climo_mean   0.1259   0.0955   0.0074   0.8254   0.1138   0.8258     2104
      climo_median   0.1290   0.0920   0.0069   0.8476   0.0999   0.8179     2104
             conor   0.1106   0.0831   0.0046   0.8635   0.0878   0.8652     2104
     interp_clim_a   0.1209   0.0925   0.0047   0.7949   0.1297   0.8416     2104
     interp_clim_b   0.1211   0.0927   0.0047   0.7948   0.1298   0.8409     2104
     interp_clim_c   0.1206   0.0910   0.0045   0.8061   0.1228   0.8413     2104
       whit_a_0p50   0.1479   0.1119   0.0014   0.8126   0.1157   0.7621     2104
       whit_a_0p20   0.1498   0.1134   0.0005   0.8335   0.1020   0.7595     2104
       whit_a_0p10   0.1527   0.1157  -0.0000   0.8436   0.0953   0.7533     2104
       whit_a_0p05   0.1557   0.1179  -0.0004   0.8497   0.0913   0.7467     2104
       whit_a_0p01   0.1601   0.1211  -0.0008   0.8553   0.0874   0.7362     2104

Randomly drop a three month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1295   0.0966   0.0103   0.8060   0.1259   0.8436     2103
        climo_mean   0.1172   0.0854   0.0034   0.8691   0.0814   0.8698     2103
      climo_median   0.1220   0.0824   0.0043   0.8883   0.0708   0.8598     2103
             conor   0.0974   0.0715   0.0006   0.9017   0.0591   0.9100     2103
     interp_clim_a   0.1058   0.0793   0.0069   0.8375   0.1036   0.8984     2103
     interp_clim_b   0.1059   0.0794   0.0068   0.8372   0.1037   0.8982     2103
     interp_clim_c   0.1058   0.0778   0.0073   0.8472   0.0983   0.8971     2103
       whit_a_0p50   0.1295   0.0965   0.0060   0.8694   0.0838   0.8420     2103
       whit_a_0p20   0.1316   0.0983   0.0061   0.8894   0.0720   0.8390     2103
       whit_a_0p10   0.1344   0.1005   0.0062   0.8982   0.0668   0.8339     2103
       whit_a_0p05   0.1374   0.1026   0.0062   0.9033   0.0638   0.8281     2103
       whit_a_0p01   0.1418   0.1056   0.0063   0.9076   0.0613   0.8191     2103

Randomly drop a three month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1637   0.1271  -0.0102   0.7379   0.1552   0.6597     2103
        climo_mean   0.1275   0.0976   0.0075   0.7894   0.1404   0.7876     2103
      climo_median   0.1318   0.0941   0.0045   0.8141   0.1218   0.7746     2103
             conor   0.1165   0.0891   0.0059   0.8322   0.1118   0.8228     2103
     interp_clim_a   0.1276   0.0992  -0.0014   0.7636   0.1478   0.7873     2103
     interp_clim_b   0.1282   0.0995  -0.0015   0.7628   0.1482   0.7854     2103
     interp_clim_c   0.1274   0.0976  -0.0029   0.7760   0.1385   0.7876     2103
       whit_a_0p50   0.1615   0.1259  -0.0062   0.7652   0.1420   0.6719     2103
       whit_a_0p20   0.1636   0.1272  -0.0067   0.7864   0.1282   0.6702     2103
       whit_a_0p10   0.1666   0.1296  -0.0073   0.7971   0.1208   0.6638     2103
       whit_a_0p05   0.1698   0.1321  -0.0078   0.8040   0.1158   0.6564     2103
       whit_a_0p01   0.1745   0.1357  -0.0087   0.8104   0.1110   0.6447     2103

Randomly drop a four month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1667   0.1280  -0.0028   0.7257   0.1657   0.6929     2104
        climo_mean   0.1249   0.0933   0.0066   0.8272   0.1128   0.8273     2104
      climo_median   0.1300   0.0901   0.0061   0.8419   0.1033   0.8137     2104
             conor   0.1123   0.0840   0.0040   0.8566   0.0921   0.8601     2104
     interp_clim_a   0.1252   0.0965   0.0019   0.7765   0.1392   0.8293     2104
     interp_clim_b   0.1255   0.0967   0.0017   0.7757   0.1395   0.8283     2104
     interp_clim_c   0.1254   0.0952   0.0017   0.7838   0.1345   0.8276     2104
       whit_a_0p50   0.1652   0.1254  -0.0038   0.7829   0.1296   0.7053     2104
       whit_a_0p20   0.1688   0.1283  -0.0038   0.8023   0.1176   0.6989     2104
       whit_a_0p10   0.1726   0.1314  -0.0039   0.8110   0.1122   0.6902     2104
       whit_a_0p05   0.1765   0.1345  -0.0039   0.8163   0.1089   0.6809     2104
       whit_a_0p01   0.1823   0.1389  -0.0039   0.8208   0.1062   0.6667     2104

Randomly drop a four month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1406   0.1074   0.0200   0.7789   0.1500   0.8043     2103
        climo_mean   0.1119   0.0813  -0.0022   0.8674   0.0758   0.8732     2103
      climo_median   0.1163   0.0775  -0.0013   0.8880   0.0645   0.8636     2103
             conor   0.0975   0.0719  -0.0031   0.8948   0.0588   0.9037     2103
     interp_clim_a   0.1061   0.0804   0.0089   0.8231   0.1129   0.8918     2103
     interp_clim_b   0.1063   0.0805   0.0088   0.8229   0.1129   0.8915     2103
     interp_clim_c   0.1058   0.0786   0.0093   0.8334   0.1073   0.8910     2103
       whit_a_0p50   0.1411   0.1081   0.0093   0.8593   0.0921   0.8029     2103
       whit_a_0p20   0.1462   0.1121   0.0086   0.8834   0.0771   0.7940     2103
       whit_a_0p10   0.1513   0.1158   0.0084   0.8941   0.0707   0.7839     2103
       whit_a_0p05   0.1564   0.1196   0.0083   0.9003   0.0669   0.7734     2103
       whit_a_0p01   0.1634   0.1247   0.0080   0.9056   0.0635   0.7584     2103

Randomly drop a four month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1769   0.1372  -0.0259   0.7054   0.1650   0.6294     2103
        climo_mean   0.1255   0.0961   0.0048   0.7982   0.1356   0.8049     2103
      climo_median   0.1300   0.0925   0.0024   0.8226   0.1173   0.7916     2103
             conor   0.1144   0.0882   0.0040   0.8276   0.1157   0.8381     2103
     interp_clim_a   0.1305   0.1019  -0.0105   0.7518   0.1503   0.7923     2103
     interp_clim_b   0.1307   0.1021  -0.0106   0.7514   0.1505   0.7914     2103
     interp_clim_c   0.1301   0.1005  -0.0118   0.7640   0.1412   0.7928     2103
       whit_a_0p50   0.1718   0.1318  -0.0156   0.7376   0.1544   0.6488     2103
       whit_a_0p20   0.1741   0.1327  -0.0152   0.7571   0.1422   0.6458     2103
       whit_a_0p10   0.1775   0.1352  -0.0156   0.7677   0.1349   0.6382     2103
       whit_a_0p05   0.1811   0.1380  -0.0160   0.7749   0.1299   0.6297     2103
       whit_a_0p01   0.1864   0.1421  -0.0164   0.7819   0.1249   0.6165     2103

Randomly drop a six month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2023   0.1546  -0.0015   0.6681   0.2028   0.5583     2104
        climo_mean   0.1222   0.0914   0.0054   0.8421   0.1026   0.8313     2104
      climo_median   0.1264   0.0885   0.0043   0.8639   0.0882   0.8215     2104
             conor   0.1143   0.0859   0.0038   0.8579   0.0912   0.8523     2104
     interp_clim_a   0.1377   0.1053   0.0019   0.7551   0.1527   0.7867     2104
     interp_clim_b   0.1381   0.1056   0.0017   0.7545   0.1529   0.7852     2104
     interp_clim_c   0.1369   0.1040   0.0014   0.7660   0.1455   0.7887     2104
       whit_a_0p50   0.2002   0.1508  -0.0013   0.7402   0.1586   0.5866     2104
       whit_a_0p20   0.2053   0.1554  -0.0022   0.7562   0.1479   0.5778     2104
       whit_a_0p10   0.2100   0.1593  -0.0030   0.7608   0.1443   0.5670     2104
       whit_a_0p05   0.2143   0.1630  -0.0036   0.7625   0.1426   0.5565     2104
       whit_a_0p01   0.2204   0.1682  -0.0044   0.7624   0.1419   0.5409     2104

Randomly drop a six month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1886   0.1460   0.0553   0.6796   0.2390   0.6406     2103
        climo_mean   0.1157   0.0862   0.0029   0.8531   0.0871   0.8512     2103
      climo_median   0.1202   0.0832   0.0020   0.8729   0.0749   0.8405     2103
             conor   0.1078   0.0804  -0.0002   0.8654   0.0769   0.8706     2103
     interp_clim_a   0.1305   0.1013   0.0291   0.7663   0.1630   0.8240     2103
     interp_clim_b   0.1308   0.1015   0.0290   0.7650   0.1636   0.8229     2103
     interp_clim_c   0.1303   0.1001   0.0287   0.7762   0.1569   0.8229     2103
       whit_a_0p50   0.1878   0.1404   0.0331   0.7463   0.1785   0.6380     2103
       whit_a_0p20   0.1937   0.1448   0.0260   0.7654   0.1604   0.6228     2103
       whit_a_0p10   0.1993   0.1496   0.0227   0.7732   0.1527   0.6083     2103
       whit_a_0p05   0.2048   0.1544   0.0206   0.7774   0.1482   0.5945     2103
       whit_a_0p01   0.2125   0.1611   0.0185   0.7803   0.1444   0.5747     2103

Randomly drop a six month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2162   0.1646  -0.0693   0.6732   0.1480   0.5475     2103
        climo_mean   0.1252   0.0941   0.0020   0.8166   0.1240   0.8201     2103
      climo_median   0.1301   0.0909   0.0009   0.8399   0.1074   0.8069     2103
             conor   0.1160   0.0873   0.0022   0.8393   0.1091   0.8456     2103
     interp_clim_a   0.1451   0.1122  -0.0337   0.7449   0.1360   0.7721     2103
     interp_clim_b   0.1456   0.1126  -0.0339   0.7443   0.1361   0.7705     2103
     interp_clim_c   0.1444   0.1106  -0.0342   0.7566   0.1277   0.7745     2103
       whit_a_0p50   0.2144   0.1610  -0.0494   0.7162   0.1394   0.5503     2103
       whit_a_0p20   0.2198   0.1642  -0.0422   0.7259   0.1401   0.5344     2103
       whit_a_0p10   0.2246   0.1677  -0.0390   0.7294   0.1410   0.5213     2103
       whit_a_0p05   0.2290   0.1712  -0.0372   0.7307   0.1419   0.5096     2103
       whit_a_0p01   0.2354   0.1767  -0.0356   0.7309   0.1434   0.4929     2103

