MGRS: 17T
NLCD: 

Randomly drop one datapoint during the year
            method     rmse      mae      mbe        m        b       r2        n
       whit_a_0p05   0.1683   0.1246   0.0057   0.7991   0.1596   0.6795     2897
       whit_a_0p01   0.1710   0.1266   0.0053   0.8071   0.1530   0.6739     2897

Randomly drop a two month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1324   0.1040  -0.0379   0.7837   0.1537   0.7549     2897
        climo_mean   0.1005   0.0750  -0.0006   0.8420   0.1394   0.8454     2897
      climo_median   0.1036   0.0717   0.0041   0.8641   0.1244   0.8368     2897
             conor   0.0939   0.0716   0.0019   0.8767   0.1111   0.8652     2897
     interp_clim_a   0.1013   0.0790  -0.0192   0.8128   0.1465   0.8504     2897
     interp_clim_b   0.1016   0.0794  -0.0194   0.8124   0.1468   0.8492     2897
     interp_clim_c   0.1009   0.0775  -0.0169   0.8239   0.1390   0.8495     2897
       whit_a_0p50   0.1328   0.1028  -0.0180   0.8100   0.1503   0.7415     2897
       whit_a_0p20   0.1317   0.1018  -0.0121   0.8334   0.1354   0.7467     2897
       whit_a_0p10   0.1323   0.1021  -0.0097   0.8448   0.1277   0.7463     2897
       whit_a_0p05   0.1335   0.1028  -0.0083   0.8518   0.1229   0.7440     2897
       whit_a_0p01   0.1355   0.1043  -0.0071   0.8584   0.1183   0.7389     2897

Randomly drop a two month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2038   0.1568   0.0742   0.5995   0.3209   0.4516     2888
        climo_mean   0.1432   0.1120  -0.0047   0.6541   0.2083   0.6610     2888
      climo_median   0.1495   0.1076  -0.0107   0.6687   0.1934   0.6336     2888
             conor   0.1367   0.1067  -0.0025   0.6939   0.1860   0.6907     2888
     interp_clim_a   0.1534   0.1194   0.0347   0.6268   0.2646   0.6300     2888
     interp_clim_b   0.1604   0.1239   0.0399   0.6185   0.2749   0.6009     2888
     interp_clim_c   0.1544   0.1187   0.0317   0.6341   0.2571   0.6219     2888
       whit_a_0p50   0.2032   0.1557   0.0432   0.6061   0.2858   0.4245     2888
       whit_a_0p20   0.2045   0.1560   0.0334   0.6228   0.2658   0.4219     2888
       whit_a_0p10   0.2067   0.1576   0.0292   0.6317   0.2561   0.4171     2888
       whit_a_0p05   0.2091   0.1595   0.0267   0.6373   0.2501   0.4114     2888
       whit_a_0p01   0.2128   0.1624   0.0242   0.6423   0.2446   0.4026     2888

Randomly drop a three month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1857   0.1439   0.0095   0.6312   0.2917   0.5831     2897
        climo_mean   0.1256   0.0934  -0.0057   0.8140   0.1366   0.8074     2897
      climo_median   0.1303   0.0900  -0.0051   0.8332   0.1225   0.7946     2897
             conor   0.1178   0.0886  -0.0041   0.8440   0.1153   0.8306     2897
     interp_clim_a   0.1355   0.1041   0.0019   0.7226   0.2142   0.7798     2897
     interp_clim_b   0.1397   0.1065   0.0045   0.7140   0.2235   0.7649     2897
     interp_clim_c   0.1356   0.1030   0.0022   0.7322   0.2071   0.7778     2897
       whit_a_0p50   0.1828   0.1393   0.0092   0.7129   0.2289   0.6096     2897
       whit_a_0p20   0.1836   0.1394   0.0077   0.7483   0.2003   0.6165     2897
       whit_a_0p10   0.1857   0.1409   0.0067   0.7646   0.1869   0.6150     2897
       whit_a_0p05   0.1881   0.1426   0.0060   0.7745   0.1786   0.6111     2897
       whit_a_0p01   0.1919   0.1452   0.0053   0.7838   0.1707   0.6036     2897

Randomly drop a three month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1626   0.1278  -0.0565   0.7099   0.1986   0.6659     2897
        climo_mean   0.1051   0.0783  -0.0056   0.8454   0.1304   0.8403     2897
      climo_median   0.1081   0.0749  -0.0017   0.8671   0.1152   0.8323     2897
             conor   0.0995   0.0747  -0.0037   0.8708   0.1099   0.8570     2897
     interp_clim_a   0.1158   0.0908  -0.0310   0.7776   0.1645   0.8222     2897
     interp_clim_b   0.1164   0.0912  -0.0311   0.7759   0.1659   0.8201     2897
     interp_clim_c   0.1151   0.0893  -0.0291   0.7885   0.1569   0.8216     2897
       whit_a_0p50   0.1605   0.1227  -0.0261   0.7527   0.1913   0.6520     2897
       whit_a_0p20   0.1600   0.1220  -0.0185   0.7765   0.1781   0.6560     2897
       whit_a_0p10   0.1613   0.1229  -0.0156   0.7881   0.1707   0.6541     2897
       whit_a_0p05   0.1630   0.1242  -0.0143   0.7955   0.1656   0.6502     2897
       whit_a_0p01   0.1659   0.1263  -0.0132   0.8024   0.1605   0.6431     2897

Randomly drop a three month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2095   0.1619   0.0898   0.6275   0.3262   0.4869     2888
        climo_mean   0.1411   0.1089  -0.0057   0.6874   0.1927   0.6927     2888
      climo_median   0.1476   0.1053  -0.0103   0.7028   0.1783   0.6670     2888
             conor   0.1336   0.1025  -0.0038   0.7267   0.1696   0.7244     2888
     interp_clim_a   0.1541   0.1194   0.0421   0.6575   0.2595   0.6603     2888
     interp_clim_b   0.1620   0.1245   0.0483   0.6468   0.2725   0.6306     2888
     interp_clim_c   0.1554   0.1188   0.0397   0.6651   0.2523   0.6513     2888
       whit_a_0p50   0.2047   0.1571   0.0509   0.6552   0.2698   0.4678     2888
       whit_a_0p20   0.2051   0.1568   0.0397   0.6746   0.2462   0.4667     2888
       whit_a_0p10   0.2070   0.1580   0.0349   0.6855   0.2345   0.4633     2888
       whit_a_0p05   0.2092   0.1597   0.0321   0.6931   0.2268   0.4589     2888
       whit_a_0p01   0.2129   0.1627   0.0294   0.7014   0.2190   0.4514     2888

Randomly drop a four month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2076   0.1620   0.0145   0.5728   0.3380   0.4902     2897
        climo_mean   0.1207   0.0913  -0.0032   0.8234   0.1306   0.8222     2897
      climo_median   0.1247   0.0878  -0.0041   0.8473   0.1116   0.8118     2897
             conor   0.1168   0.0886  -0.0014   0.8403   0.1195   0.8333     2897
     interp_clim_a   0.1416   0.1103   0.0057   0.6981   0.2343   0.7607     2897
     interp_clim_b   0.1475   0.1140   0.0091   0.6867   0.2464   0.7391     2897
     interp_clim_c   0.1408   0.1087   0.0052   0.7101   0.2248   0.7617     2897
       whit_a_0p50   0.2051   0.1566   0.0110   0.6690   0.2617   0.5264     2897
       whit_a_0p20   0.2081   0.1577   0.0086   0.7044   0.2324   0.5297     2897
       whit_a_0p10   0.2118   0.1604   0.0071   0.7209   0.2185   0.5254     2897
       whit_a_0p05   0.2152   0.1631   0.0060   0.7306   0.2100   0.5199     2897
       whit_a_0p01   0.2201   0.1670   0.0047   0.7391   0.2023   0.5108     2897

Randomly drop a four month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1979   0.1570  -0.0605   0.6080   0.2770   0.5243     2897
        climo_mean   0.1053   0.0793  -0.0024   0.8457   0.1305   0.8475     2897
      climo_median   0.1080   0.0754   0.0013   0.8670   0.1158   0.8401     2897
             conor   0.1014   0.0767  -0.0009   0.8616   0.1183   0.8584     2897
     interp_clim_a   0.1299   0.1027  -0.0315   0.7268   0.2037   0.7856     2897
     interp_clim_b   0.1317   0.1038  -0.0310   0.7217   0.2086   0.7783     2897
     interp_clim_c   0.1286   0.1010  -0.0296   0.7375   0.1964   0.7875     2897
       whit_a_0p50   0.1944   0.1488  -0.0244   0.6706   0.2593   0.5269     2897
       whit_a_0p20   0.1949   0.1481  -0.0140   0.6952   0.2484   0.5308     2897
       whit_a_0p10   0.1968   0.1494  -0.0101   0.7060   0.2430   0.5279     2897
       whit_a_0p05   0.1993   0.1513  -0.0081   0.7121   0.2398   0.5227     2897
       whit_a_0p01   0.2031   0.1544  -0.0068   0.7171   0.2368   0.5134     2897

Randomly drop a four month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2145   0.1654   0.0918   0.6050   0.3515   0.4877     2888
        climo_mean   0.1389   0.1074  -0.0049   0.7186   0.1801   0.7226     2888
      climo_median   0.1446   0.1035  -0.0100   0.7368   0.1630   0.7022     2888
             conor   0.1323   0.1023  -0.0046   0.7453   0.1629   0.7482     2888
     interp_clim_a   0.1545   0.1198   0.0435   0.6618   0.2658   0.6842     2888
     interp_clim_b   0.1633   0.1252   0.0500   0.6494   0.2805   0.6523     2888
     interp_clim_c   0.1550   0.1190   0.0409   0.6709   0.2573   0.6783     2888
       whit_a_0p50   0.2115   0.1620   0.0531   0.6509   0.2826   0.4682     2888
       whit_a_0p20   0.2136   0.1634   0.0392   0.6683   0.2573   0.4600     2888
       whit_a_0p10   0.2164   0.1655   0.0329   0.6769   0.2453   0.4525     2888
       whit_a_0p05   0.2195   0.1677   0.0289   0.6826   0.2376   0.4453     2888
       whit_a_0p01   0.2239   0.1710   0.0250   0.6884   0.2298   0.4349     2888

Randomly drop a six month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2443   0.1931   0.0009   0.4737   0.4066   0.3298     2897
        climo_mean   0.1198   0.0898  -0.0039   0.8194   0.1353   0.8238     2897
      climo_median   0.1240   0.0867  -0.0029   0.8385   0.1216   0.8120     2897
             conor   0.1170   0.0879  -0.0032   0.8288   0.1288   0.8321     2897
     interp_clim_a   0.1570   0.1240  -0.0015   0.6465   0.2710   0.7016     2897
     interp_clim_b   0.1635   0.1283   0.0024   0.6326   0.2857   0.6745     2897
     interp_clim_c   0.1565   0.1227  -0.0010   0.6561   0.2641   0.7020     2897
       whit_a_0p50   0.2468   0.1900   0.0013   0.5608   0.3399   0.3615     2897
       whit_a_0p20   0.2498   0.1915  -0.0002   0.5923   0.3141   0.3689     2897
       whit_a_0p10   0.2542   0.1944  -0.0017   0.6057   0.3022   0.3651     2897
       whit_a_0p05   0.2585   0.1974  -0.0031   0.6128   0.2954   0.3589     2897
       whit_a_0p01   0.2646   0.2021  -0.0048   0.6185   0.2893   0.3487     2897

Randomly drop a six month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2616   0.2082  -0.0689   0.4672   0.3672   0.2957     2897
        climo_mean   0.1144   0.0865  -0.0042   0.8324   0.1331   0.8350     2897
      climo_median   0.1177   0.0829  -0.0020   0.8549   0.1169   0.8263     2897
             conor   0.1114   0.0843  -0.0032   0.8457   0.1230   0.8435     2897
     interp_clim_a   0.1609   0.1283  -0.0366   0.6498   0.2501   0.6929     2897
     interp_clim_b   0.1660   0.1315  -0.0343   0.6367   0.2630   0.6684     2897
     interp_clim_c   0.1594   0.1266  -0.0355   0.6610   0.2420   0.6969     2897
       whit_a_0p50   0.2703   0.2073  -0.0473   0.5313   0.3364   0.2950     2897
       whit_a_0p20   0.2743   0.2093  -0.0375   0.5546   0.3271   0.2955     2897
       whit_a_0p10   0.2784   0.2123  -0.0334   0.5653   0.3225   0.2919     2897
       whit_a_0p05   0.2820   0.2153  -0.0309   0.5713   0.3200   0.2878     2897
       whit_a_0p01   0.2869   0.2193  -0.0290   0.5756   0.3184   0.2809     2897

Randomly drop a six month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2285   0.1769   0.0761   0.5378   0.4075   0.4251     2888
        climo_mean   0.1301   0.0983  -0.0048   0.7832   0.1506   0.7799     2888
      climo_median   0.1348   0.0945  -0.0073   0.8027   0.1342   0.7658     2888
             conor   0.1264   0.0953  -0.0030   0.7957   0.1435   0.7920     2888
     interp_clim_a   0.1554   0.1200   0.0357   0.6605   0.2791   0.7047     2888
     interp_clim_b   0.1640   0.1255   0.0418   0.6458   0.2957   0.6733     2888
     interp_clim_c   0.1551   0.1187   0.0344   0.6702   0.2708   0.7036     2888
       whit_a_0p50   0.2251   0.1701   0.0554   0.6459   0.3092   0.4575     2888
       whit_a_0p20   0.2273   0.1712   0.0442   0.6811   0.2728   0.4593     2888
       whit_a_0p10   0.2312   0.1742   0.0383   0.6961   0.2562   0.4530     2888
       whit_a_0p05   0.2354   0.1775   0.0342   0.7044   0.2461   0.4450     2888
       whit_a_0p01   0.2413   0.1821   0.0297   0.7107   0.2371   0.4322     2888

