MGRS: 10T
NLCD: 

Randomly drop one datapoint during the year
            method     rmse      mae      mbe        m        b       r2        n
       whit_a_0p20   0.1831   0.1405   0.0036   0.7293   0.1825   0.6296     4760
       whit_a_0p10   0.1849   0.1414   0.0013   0.7370   0.1751   0.6259     4760
       whit_a_0p05   0.1868   0.1427  -0.0002   0.7428   0.1698   0.6216     4760
       whit_a_0p01   0.1898   0.1449  -0.0016   0.7492   0.1642   0.6145     4760

Randomly drop a two month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1570   0.1182   0.0014   0.8000   0.1384   0.7623     5390
        climo_mean   0.1394   0.1037   0.0029   0.8004   0.1397   0.8112     5390
      climo_median   0.1425   0.0987   0.0033   0.8219   0.1254   0.8029     5390
             conor   0.1253   0.0938   0.0016   0.8473   0.1063   0.8473     5390
     interp_clim_a   0.1315   0.0994   0.0021   0.8002   0.1391   0.8331     5390
     interp_clim_b   0.1329   0.1001   0.0023   0.8002   0.1392   0.8292     5390
     interp_clim_c   0.1318   0.0978   0.0023   0.8109   0.1319   0.8316     5390
       whit_a_0p50   0.1609   0.1215   0.0020   0.8167   0.1277   0.7534     5390
       whit_a_0p20   0.1636   0.1226   0.0021   0.8289   0.1193   0.7485     5390
       whit_a_0p10   0.1664   0.1243   0.0020   0.8353   0.1149   0.7424     5390
       whit_a_0p05   0.1692   0.1260   0.0019   0.8393   0.1120   0.7360     5390
       whit_a_0p01   0.1733   0.1287   0.0018   0.8433   0.1092   0.7266     5390

Randomly drop a two month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1279   0.0961  -0.0136   0.8488   0.0937   0.8516     5388
        climo_mean   0.1232   0.0885  -0.0005   0.8586   0.0998   0.8607     5388
      climo_median   0.1276   0.0846   0.0034   0.8776   0.0902   0.8513     5388
             conor   0.0996   0.0740  -0.0026   0.9042   0.0653   0.9091     5388
     interp_clim_a   0.1079   0.0810  -0.0070   0.8537   0.0967   0.8955     5388
     interp_clim_b   0.1082   0.0812  -0.0072   0.8536   0.0966   0.8948     5388
     interp_clim_c   0.1082   0.0795  -0.0051   0.8632   0.0919   0.8938     5388
       whit_a_0p50   0.1316   0.0993  -0.0119   0.8716   0.0791   0.8432     5388
       whit_a_0p20   0.1321   0.0991  -0.0113   0.8863   0.0694   0.8432     5388
       whit_a_0p10   0.1335   0.0999  -0.0109   0.8936   0.0645   0.8407     5388
       whit_a_0p05   0.1353   0.1010  -0.0106   0.8983   0.0615   0.8373     5388
       whit_a_0p01   0.1383   0.1032  -0.0104   0.9026   0.0587   0.8315     5388

Randomly drop a two month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1777   0.1381   0.0149   0.7500   0.1810   0.6665     5364
        climo_mean   0.1532   0.1178   0.0010   0.7295   0.1807   0.7429     5364
      climo_median   0.1579   0.1132  -0.0021   0.7501   0.1640   0.7274     5364
             conor   0.1422   0.1104   0.0018   0.7867   0.1435   0.7783     5364
     interp_clim_a   0.1483   0.1158   0.0080   0.7398   0.1809   0.7602     5364
     interp_clim_b   0.1508   0.1176   0.0086   0.7399   0.1814   0.7517     5364
     interp_clim_c   0.1491   0.1147   0.0064   0.7500   0.1725   0.7568     5364
       whit_a_0p50   0.1827   0.1424   0.0128   0.7562   0.1748   0.6522     5364
       whit_a_0p20   0.1862   0.1444   0.0121   0.7680   0.1663   0.6449     5364
       whit_a_0p10   0.1896   0.1466   0.0115   0.7747   0.1612   0.6371     5364
       whit_a_0p05   0.1928   0.1488   0.0110   0.7794   0.1575   0.6296     5364
       whit_a_0p01   0.1973   0.1521   0.0102   0.7845   0.1534   0.6188     5364

Randomly drop a three month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1659   0.1266  -0.0051   0.7882   0.1414   0.7295     5390
        climo_mean   0.1368   0.1006  -0.0003   0.8073   0.1330   0.8128     5390
      climo_median   0.1413   0.0961  -0.0001   0.8284   0.1186   0.8011     5390
             conor   0.1234   0.0914  -0.0023   0.8458   0.1043   0.8477     5390
     interp_clim_a   0.1321   0.1002  -0.0027   0.7977   0.1372   0.8265     5390
     interp_clim_b   0.1339   0.1014  -0.0026   0.7977   0.1373   0.8212     5390
     interp_clim_c   0.1325   0.0989  -0.0026   0.8083   0.1300   0.8246     5390
       whit_a_0p50   0.1737   0.1323  -0.0044   0.8143   0.1240   0.7128     5390
       whit_a_0p20   0.1777   0.1350  -0.0041   0.8285   0.1145   0.7057     5390
       whit_a_0p10   0.1814   0.1376  -0.0040   0.8357   0.1096   0.6981     5390
       whit_a_0p05   0.1848   0.1400  -0.0040   0.8403   0.1065   0.6908     5390
       whit_a_0p01   0.1895   0.1436  -0.0041   0.8448   0.1032   0.6805     5390

Randomly drop a three month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1495   0.1121  -0.0036   0.8163   0.1232   0.7941     5388
        climo_mean   0.1240   0.0895   0.0033   0.8563   0.1025   0.8579     5388
      climo_median   0.1278   0.0856   0.0065   0.8766   0.0916   0.8502     5388
             conor   0.1080   0.0799   0.0026   0.8901   0.0785   0.8921     5388
     interp_clim_a   0.1169   0.0881  -0.0001   0.8363   0.1129   0.8753     5388
     interp_clim_b   0.1174   0.0883  -0.0004   0.8360   0.1129   0.8741     5388
     interp_clim_c   0.1170   0.0867   0.0014   0.8464   0.1074   0.8743     5388
       whit_a_0p50   0.1561   0.1167  -0.0040   0.8542   0.0966   0.7815     5388
       whit_a_0p20   0.1590   0.1186  -0.0046   0.8704   0.0849   0.7774     5388
       whit_a_0p10   0.1623   0.1211  -0.0048   0.8779   0.0795   0.7713     5388
       whit_a_0p05   0.1657   0.1237  -0.0049   0.8824   0.0763   0.7646     5388
       whit_a_0p01   0.1707   0.1278  -0.0049   0.8863   0.0735   0.7540     5388

Randomly drop a three month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1831   0.1416   0.0043   0.7488   0.1757   0.6515     5364
        climo_mean   0.1509   0.1165  -0.0015   0.7400   0.1759   0.7534     5364
      climo_median   0.1553   0.1113  -0.0041   0.7600   0.1595   0.7394     5364
             conor   0.1409   0.1088  -0.0019   0.7814   0.1473   0.7850     5364
     interp_clim_a   0.1488   0.1157   0.0014   0.7444   0.1758   0.7603     5364
     interp_clim_b   0.1518   0.1176   0.0021   0.7441   0.1767   0.7505     5364
     interp_clim_c   0.1494   0.1143   0.0001   0.7544   0.1676   0.7582     5364
       whit_a_0p50   0.1903   0.1471   0.0038   0.7574   0.1693   0.6323     5364
       whit_a_0p20   0.1957   0.1508   0.0040   0.7680   0.1622   0.6203     5364
       whit_a_0p10   0.2003   0.1540   0.0039   0.7740   0.1581   0.6097     5364
       whit_a_0p05   0.2044   0.1569   0.0037   0.7780   0.1552   0.6001     5364
       whit_a_0p01   0.2100   0.1610   0.0034   0.7822   0.1520   0.5871     5364

Randomly drop a four month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1813   0.1381  -0.0003   0.7505   0.1709   0.6767     5390
        climo_mean   0.1384   0.1028   0.0028   0.8035   0.1377   0.8070     5390
      climo_median   0.1427   0.0990   0.0039   0.8249   0.1241   0.7960     5390
             conor   0.1288   0.0965   0.0028   0.8310   0.1187   0.8330     5390
     interp_clim_a   0.1404   0.1070   0.0013   0.7770   0.1543   0.8023     5390
     interp_clim_b   0.1425   0.1083   0.0014   0.7763   0.1550   0.7960     5390
     interp_clim_c   0.1408   0.1059   0.0018   0.7877   0.1475   0.8005     5390
       whit_a_0p50   0.1915   0.1459  -0.0007   0.7785   0.1513   0.6541     5390
       whit_a_0p20   0.1968   0.1496  -0.0017   0.7899   0.1425   0.6432     5390
       whit_a_0p10   0.2014   0.1528  -0.0026   0.7955   0.1377   0.6330     5390
       whit_a_0p05   0.2055   0.1560  -0.0034   0.7988   0.1347   0.6237     5390
       whit_a_0p01   0.2112   0.1603  -0.0043   0.8016   0.1319   0.6106     5390

Randomly drop a four month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1672   0.1251   0.0042   0.7735   0.1587   0.7430     5388
        climo_mean   0.1260   0.0908   0.0022   0.8511   0.1038   0.8532     5388
      climo_median   0.1300   0.0870   0.0047   0.8731   0.0913   0.8448     5388
             conor   0.1147   0.0842   0.0023   0.8770   0.0862   0.8783     5388
     interp_clim_a   0.1260   0.0949   0.0032   0.8123   0.1313   0.8555     5388
     interp_clim_b   0.1269   0.0954   0.0031   0.8118   0.1315   0.8531     5388
     interp_clim_c   0.1260   0.0935   0.0044   0.8233   0.1250   0.8546     5388
       whit_a_0p50   0.1781   0.1330   0.0010   0.8233   0.1216   0.7212     5388
       whit_a_0p20   0.1841   0.1377   0.0003   0.8376   0.1112   0.7097     5388
       whit_a_0p10   0.1890   0.1419   0.0001   0.8429   0.1073   0.6990     5388
       whit_a_0p05   0.1935   0.1454  -0.0001   0.8456   0.1053   0.6892     5388
       whit_a_0p01   0.1995   0.1501  -0.0003   0.8478   0.1035   0.6757     5388

Randomly drop a four month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1991   0.1543  -0.0077   0.7227   0.1856   0.6076     5364
        climo_mean   0.1485   0.1124  -0.0007   0.7585   0.1677   0.7696     5364
      climo_median   0.1533   0.1079  -0.0023   0.7813   0.1502   0.7552     5364
             conor   0.1398   0.1069  -0.0011   0.7875   0.1471   0.7956     5364
     interp_clim_a   0.1541   0.1199  -0.0042   0.7406   0.1767   0.7520     5364
     interp_clim_b   0.1579   0.1224  -0.0037   0.7387   0.1786   0.7394     5364
     interp_clim_c   0.1545   0.1182  -0.0050   0.7520   0.1679   0.7505     5364
       whit_a_0p50   0.2073   0.1601  -0.0056   0.7338   0.1800   0.5874     5364
       whit_a_0p20   0.2128   0.1639  -0.0054   0.7443   0.1730   0.5759     5364
       whit_a_0p10   0.2174   0.1671  -0.0055   0.7504   0.1685   0.5659     5364
       whit_a_0p05   0.2216   0.1701  -0.0058   0.7543   0.1656   0.5566     5364
       whit_a_0p01   0.2273   0.1743  -0.0061   0.7579   0.1628   0.5441     5364

Randomly drop a six month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2077   0.1572   0.0001   0.7106   0.1987   0.5911     5390
        climo_mean   0.1386   0.1023   0.0016   0.8047   0.1357   0.8071     5390
      climo_median   0.1438   0.0985   0.0022   0.8250   0.1223   0.7936     5390
             conor   0.1321   0.0977   0.0015   0.8243   0.1221   0.8249     5390
     interp_clim_a   0.1507   0.1150   0.0009   0.7576   0.1672   0.7724     5390
     interp_clim_b   0.1531   0.1164   0.0012   0.7565   0.1684   0.7649     5390
     interp_clim_c   0.1510   0.1136   0.0011   0.7678   0.1605   0.7712     5390
       whit_a_0p50   0.2283   0.1716  -0.0025   0.7400   0.1760   0.5459     5390
       whit_a_0p20   0.2373   0.1794  -0.0037   0.7487   0.1689   0.5275     5390
       whit_a_0p10   0.2440   0.1849  -0.0045   0.7508   0.1666   0.5130     5390
       whit_a_0p05   0.2495   0.1895  -0.0051   0.7512   0.1657   0.5006     5390
       whit_a_0p01   0.2569   0.1955  -0.0060   0.7504   0.1654   0.4843     5390

Randomly drop a six month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1984   0.1507   0.0314   0.7142   0.2213   0.6420     5388
        climo_mean   0.1340   0.0977   0.0045   0.8256   0.1204   0.8288     5388
      climo_median   0.1389   0.0937   0.0044   0.8459   0.1068   0.8172     5388
             conor   0.1261   0.0926   0.0046   0.8464   0.1067   0.8486     5388
     interp_clim_a   0.1438   0.1098   0.0180   0.7699   0.1709   0.8075     5388
     interp_clim_b   0.1456   0.1108   0.0186   0.7688   0.1722   0.8024     5388
     interp_clim_c   0.1440   0.1083   0.0179   0.7800   0.1641   0.8061     5388
       whit_a_0p50   0.2213   0.1669   0.0227   0.7585   0.1832   0.5873     5388
       whit_a_0p20   0.2307   0.1748   0.0189   0.7740   0.1691   0.5691     5388
       whit_a_0p10   0.2379   0.1807   0.0170   0.7791   0.1638   0.5540     5388
       whit_a_0p05   0.2440   0.1855   0.0157   0.7808   0.1614   0.5408     5388
       whit_a_0p01   0.2519   0.1920   0.0145   0.7805   0.1604   0.5231     5388

Randomly drop a six month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2138   0.1627  -0.0258   0.7300   0.1654   0.5716     5364
        climo_mean   0.1404   0.1039   0.0013   0.7932   0.1477   0.7933     5364
      climo_median   0.1458   0.1001   0.0017   0.8134   0.1339   0.7788     5364
             conor   0.1329   0.0986   0.0013   0.8151   0.1323   0.8150     5364
     interp_clim_a   0.1541   0.1170  -0.0123   0.7616   0.1566   0.7527     5364
     interp_clim_b   0.1577   0.1194  -0.0118   0.7599   0.1583   0.7413     5364
     interp_clim_c   0.1545   0.1159  -0.0121   0.7717   0.1496   0.7520     5364
       whit_a_0p50   0.2308   0.1751  -0.0167   0.7472   0.1624   0.5318     5364
       whit_a_0p20   0.2407   0.1824  -0.0139   0.7517   0.1620   0.5097     5364
       whit_a_0p10   0.2481   0.1880  -0.0132   0.7535   0.1614   0.4937     5364
       whit_a_0p05   0.2541   0.1928  -0.0132   0.7542   0.1609   0.4807     5364
       whit_a_0p01   0.2618   0.1989  -0.0137   0.7542   0.1604   0.4644     5364

