MGRS: 17S
NLCD: 

Randomly drop one datapoint during the year
            method     rmse      mae      mbe        m        b       r2        n
       whit_a_0p10   0.1715   0.1309   0.0029   0.7853   0.1687   0.6666     7742
       whit_a_0p05   0.1751   0.1336   0.0026   0.7935   0.1621   0.6581     7742
       whit_a_0p01   0.1803   0.1376   0.0022   0.8010   0.1559   0.6454     7742

Randomly drop a four month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1692   0.1330  -0.0778   0.7228   0.1672   0.6939     7742
        climo_mean   0.1164   0.0836  -0.0011   0.8141   0.1632   0.8156     7742
      climo_median   0.1205   0.0800   0.0080   0.8296   0.1587   0.8041     7742
             conor   0.1027   0.0753  -0.0002   0.8506   0.1319   0.8565     7742
     interp_clim_a   0.1196   0.0937  -0.0394   0.7685   0.1652   0.8314     7742
     interp_clim_b   0.1200   0.0940  -0.0397   0.7676   0.1657   0.8302     7742
     interp_clim_c   0.1183   0.0914  -0.0349   0.7762   0.1629   0.8298     7742
       whit_a_0p50   0.1575   0.1188  -0.0415   0.7930   0.1415   0.6986     7742
       whit_a_0p20   0.1600   0.1201  -0.0331   0.8139   0.1314   0.6892     7742
       whit_a_0p10   0.1636   0.1227  -0.0300   0.8223   0.1270   0.6785     7742
       whit_a_0p05   0.1673   0.1255  -0.0285   0.8269   0.1244   0.6681     7742
       whit_a_0p01   0.1726   0.1294  -0.0275   0.8308   0.1221   0.6532     7742

Randomly drop a four month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1859   0.1443   0.0831   0.6853   0.2916   0.6038     7739
        climo_mean   0.1263   0.0946  -0.0030   0.7686   0.1504   0.7652     7739
      climo_median   0.1305   0.0913  -0.0000   0.7884   0.1401   0.7511     7739
             conor   0.1156   0.0877  -0.0023   0.8037   0.1278   0.8033     7739
     interp_clim_a   0.1331   0.1031   0.0401   0.7269   0.2210   0.7644     7739
     interp_clim_b   0.1349   0.1044   0.0416   0.7234   0.2248   0.7592     7739
     interp_clim_c   0.1340   0.1027   0.0415   0.7368   0.2159   0.7619     7739
       whit_a_0p50   0.1734   0.1330   0.0448   0.7370   0.2190   0.6122     7739
       whit_a_0p20   0.1758   0.1344   0.0350   0.7580   0.1953   0.6026     7739
       whit_a_0p10   0.1796   0.1372   0.0308   0.7683   0.1843   0.5916     7739
       whit_a_0p05   0.1835   0.1403   0.0284   0.7747   0.1777   0.5807     7739
       whit_a_0p01   0.1893   0.1450   0.0261   0.7806   0.1715   0.5648     7739

Randomly drop a six month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2253   0.1763  -0.0015   0.5311   0.3633   0.4207     7742
        climo_mean   0.1205   0.0885  -0.0021   0.8277   0.1319   0.8259     7742
      climo_median   0.1250   0.0852   0.0037   0.8455   0.1240   0.8142     7742
             conor   0.1111   0.0826  -0.0019   0.8483   0.1162   0.8521     7742
     interp_clim_a   0.1449   0.1140  -0.0018   0.6794   0.2476   0.7562     7742
     interp_clim_b   0.1466   0.1152  -0.0010   0.6751   0.2518   0.7496     7742
     interp_clim_c   0.1444   0.1127   0.0011   0.6883   0.2436   0.7562     7742
       whit_a_0p50   0.2094   0.1594  -0.0005   0.6450   0.2757   0.5100     7742
       whit_a_0p20   0.2097   0.1589  -0.0007   0.6783   0.2496   0.5207     7742
       whit_a_0p10   0.2126   0.1611  -0.0011   0.6923   0.2383   0.5172     7742
       whit_a_0p05   0.2163   0.1640  -0.0017   0.7000   0.2318   0.5101     7742
       whit_a_0p01   0.2219   0.1684  -0.0025   0.7061   0.2261   0.4973     7742

Randomly drop a six month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2249   0.1780  -0.0810   0.5750   0.2717   0.4809     7742
        climo_mean   0.1190   0.0876  -0.0016   0.8284   0.1409   0.8270     7742
      climo_median   0.1231   0.0842   0.0060   0.8469   0.1331   0.8165     7742
             conor   0.1101   0.0820  -0.0014   0.8484   0.1245   0.8519     7742
     interp_clim_a   0.1430   0.1139  -0.0413   0.7017   0.2063   0.7786     7742
     interp_clim_b   0.1442   0.1147  -0.0411   0.6986   0.2091   0.7741     7742
     interp_clim_c   0.1415   0.1119  -0.0375   0.7109   0.2024   0.7784     7742
       whit_a_0p50   0.2092   0.1592  -0.0585   0.6802   0.2070   0.5423     7742
       whit_a_0p20   0.2100   0.1583  -0.0495   0.7110   0.1904   0.5432     7742
       whit_a_0p10   0.2133   0.1605  -0.0452   0.7238   0.1841   0.5354     7742
       whit_a_0p05   0.2171   0.1630  -0.0426   0.7302   0.1814   0.5259     7742
       whit_a_0p01   0.2228   0.1673  -0.0402   0.7347   0.1800   0.5113     7742

Randomly drop a six month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2242   0.1759   0.0805   0.5726   0.3883   0.4673     7739
        climo_mean   0.1226   0.0905  -0.0006   0.8127   0.1343   0.8090     7739
      climo_median   0.1272   0.0874   0.0043   0.8291   0.1274   0.7960     7739
             conor   0.1147   0.0856  -0.0005   0.8326   0.1200   0.8329     7739
     interp_clim_a   0.1454   0.1133   0.0400   0.6927   0.2613   0.7572     7739
     interp_clim_b   0.1477   0.1149   0.0416   0.6876   0.2665   0.7500     7739
     interp_clim_c   0.1461   0.1129   0.0424   0.7009   0.2578   0.7557     7739
       whit_a_0p50   0.2089   0.1610   0.0576   0.6747   0.2918   0.5280     7739
       whit_a_0p20   0.2092   0.1614   0.0471   0.7032   0.2609   0.5292     7739
       whit_a_0p10   0.2118   0.1637   0.0415   0.7149   0.2468   0.5225     7739
       whit_a_0p05   0.2149   0.1662   0.0376   0.7215   0.2381   0.5143     7739
       whit_a_0p01   0.2199   0.1702   0.0333   0.7271   0.2299   0.5011     7739

